State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Arunachal Pradesh,Papum Pare,Mengio,Pilla,851739,Primary Health Centre Pilla,"Pila
Mengio Block
Papampare Dist
AP",19:46.1,Medical ,Primary Health Centre,27.41102833,93.54720167
Arunachal Pradesh,Upper Siang,Mariyang,Damro-Gingkong,246984,Damroh Gingkong Bus Stand,"Damroh
Upper Siang District
Arunachal Pradesh",57:35.0,Transport/Admin,Bus Stand,28.450345,95.24227
Arunachal Pradesh,Anjaw,Hayuliang,Chiliang,223370,Govt primary health centre Chiliang,"Chiliang
Anjaw District
Arunachal Pradesh",53:22.1,Medical ,Primary Health Centre,28.01755683,96.58380754
Arunachal Pradesh,Upper Subansiri,Dumporijo,New Riddi,779925,Anganwadi center,"New Riddi village
",47:39.9,Education ,High School - General,28.03329604,94.20126324
Arunachal Pradesh,Upper Subansiri,Dumporijo,New Riddi,779925,Orange Collection Center at New Riddi,New Riddi Dumporijo Block Upper Subansiri AP,17:08.3,Agro ,Collection Centre or Pack House,28.03322,94.20126167
Arunachal Pradesh,Upper Subansiri,Dumporijo,New Riddi,779925,Govt primary School Riddi,New Riddi village,49:35.1,Education ,High School - General,28.03255533,94.20150508
Arunachal Pradesh,Tirap,Khonsa,Old Kothin,794902,Mandi at Old Kothin,Old Kothin Vill Block Khonsa District Tirap AP,08:03.1,Agro ,Mandi (Notified),26.92951833,95.445835
Arunachal Pradesh,Upper Subansiri,Dumporijo,Dumporijo (CO  HQ),316104,ADC office at Dumporijo,Dumporijo Block Upper Subansiri AP,03:01.3,Transport/Admin,Block Headquarter,27.98053007,94.27883943
Arunachal Pradesh,Upper Subansiri,Dumporijo,Dumporijo (CO  HQ),316104,Higher Secondary school at Dumporijo,Dumporijo Block Upper Subansiri AP,03:40.4,Education ,Higher Secondary School,27.98058045,94.2788326
Arunachal Pradesh,Tirap,Lazu,Raho,887571,Warehouse at Raho Village,Rah Block Lazu District Tirap AP,17:31.7,Agro ,Warehouse,26.86134262,95.51873825
Arunachal Pradesh,Papum Pare,Sagalee,Raik,888357,Agriculture Mandi Raik Village,Raik Village Papum Pare District Arunachal Pradesh,00:31.3,Agro ,Mandi (Notified),27.22898777,93.33003253
Arunachal Pradesh,Papum Pare,Sagalee,Raik,888357,Bus Stand Raik Village,Raik Village Papum Pare District Arunachal Pradesh,58:23.5,Transport/Admin,Bus Stand,27.22926405,93.33280829
Arunachal Pradesh,East Kameng,Bana,Fengche,330479,Orange Collection Centre at Fengche,"Fengche
East Kameng
Arunachal Pradesh",26:14.4,Agro ,Agro Industry,27.3240624,92.95876004
Arunachal Pradesh,East Kameng,Bana,Fengche,330479,Paddy Deshuking Centre at Fengche,"Fengche
East Kameng
Arunachal Pradesh",26:01.4,Agro ,Agro Industry,27.32427083,92.95870139
Arunachal Pradesh,East Kameng,Bana,Fengche,330479,Bamboo Finishing Centre at Fengche,"Fengche
Bana
East Kameng Dist AP",25:44.1,Agro ,Agro Industry,27.32433803,92.95871039
Arunachal Pradesh,East Kameng,Bana,Fengche,330479,Cardamom warehouse at Fengche,Fengche Bana East Kameng distt AP,26:26.4,Agro ,Warehouse,27.39949339,92.8188515
Arunachal Pradesh,East Kameng,Bana,Sapung,953755,BUS STAND AT SAPUNG,"Sapung
East Kameng
Arunachal Pradesh",08:42.8,Transport/Admin,Bus Stand,27.28688333,92.83225833
Arunachal Pradesh,East Kameng,Bameng,Sario,958599,sabji Mandi (Notified),east kameng Arunachal Pradesh,16:00.4,Agro ,Mandi (Notified),27.3592441,93.0398427
Arunachal Pradesh,Lower Subansiri,Ziro-I,Taw Tibe,1036229,Woodland School at Tarin road Hapoli,"Tarin Road Hapoli
Lower Subansiri Dist
Ar Pr",04:11.4,Education ,High School - General,27.53369181,93.82963657
Arunachal Pradesh,East Kameng,Seppa,Pampoli,813585,Horticulture Citrus Orange Demonstration cum Nursery,Seppa East Kameng District AP,37:32.5,Agro ,Agro Industry,27.31780167,93.00280667
