State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Chhattisgarh,Bastar,Jagdalpur,Indiraawaspara,432907,rurban,madpal,51:40.6,Agro ,Is Part of Rurban Cluster?,19.09121565,82.13257388
Chhattisgarh,Bastar,Jagdalpur,Indiraawaspara,432907,weekly haat,madpal,39:41.7,Agro ,Mandi (Notified),19.09106913,82.13379515
Chhattisgarh,Bastar,Jagdalpur,Indiraawaspara,432907,panchayat HQ,madpal,41:41.8,Transport/Admin,Panchayat Headquarter,19.09149004,82.13421758
Chhattisgarh,Bastar,Jagdalpur,Indiraawaspara,432907,bank,madpal,44:38.2,Transport/Admin,Bank,19.09139234,82.13381397
Chhattisgarh,Bastar,Jagdalpur,Indiraawaspara,432907,collection center,madpal,25:59.6,Agro ,Collection Centre or Pack House,19.09128973,82.13296442
Chhattisgarh,Bastar,Jagdalpur,Indiraawaspara,432907,higher school,madpal,42:44.4,Education ,Higher Secondary School,19.0911155,82.13473586
Chhattisgarh,Dhamtari,Nagri,Jabarra,437987,gram panchayat,jabarra,11:14.4,Transport/Admin,Panchayat Headquarter,20.49416333,81.98522333
Chhattisgarh,Koria,Bharatpur,Jaiti,443603,Panchayat head quarter ,Jaiti,45:15.3,Transport/Admin,Panchayat Headquarter,23.55472167,81.75904333
Chhattisgarh,Koria,Bharatpur,Jaiti,443603,weekly MARKET mandi ,jaiti,55:51.1,Agro ,Mandi (Notified),23.55757966,81.76565114
Chhattisgarh,Jangir-Champa,Malkharada,Jamgahan,449049,High school General,Jamgahan,34:25.8,Education ,High School - General,21.88317118,83.03084326
Chhattisgarh,Jangir-Champa,Malkharada,Jamgahan,449049,Panchayat Head Quarter,Jamgahan,44:43.6,Transport/Admin,Panchayat Headquarter,21.88307201,83.03029051
Chhattisgarh,Raigarh,Raigarh,Jamgaon,449117,Veterinary hospital,jamgaon,22:27.4,Medical ,Veterinary Hospital,21.87177,83.56263333
Chhattisgarh,Raigarh,Raigarh,Jamgaon,449117,Society,Jamgaon,13:56.0,Agro ,Collection Centre or Pack House,21.87182166,83.5614987
Chhattisgarh,Raigarh,Raigarh,Jamgaon,449117,CRGB ,Jamgaon,42:41.6,Transport/Admin,Bank,21.87258441,83.56273002
Chhattisgarh,Raigarh,Raigarh,Jamgaon,449117,P H C,Jamgaon,14:07.6,Medical ,Primary Health Centre,21.87133667,83.56375333
Chhattisgarh,Raigarh,Raigarh,Jamgaon,449117, Govt HSS,jamgaon,20:12.5,Education ,Higher Secondary School,21.87204833,83.56245167
Chhattisgarh,Raigarh,Raigarh,Jamgaon,449117,Gram  Panchyat Bhawan,Jamgaon,41:14.7,Transport/Admin,Panchayat Headquarter,21.86258895,83.54201456
Chhattisgarh,Korba,Kartala,Jampani,450087,panchayat head quater,Jamnipali,38:43.8,Transport/Admin,Panchayat Headquarter,22.11178713,82.69585367
Chhattisgarh,Korba,Kartala,Jampani,450087,panchayat head quater jampani,jampani,52:29.1,Transport/Admin,Panchayat Headquarter,22.15947722,82.78465474
Chhattisgarh,Bilaspur,Masturi,JANJI,453797,Dhan kharidi kendra,Janji,54:43.2,Agro ,Collection Centre or Pack House,22.13235934,82.27439079
Chhattisgarh,Bilaspur,Masturi,JANJI,453797,Higher secondary school,janjee,57:01.9,Education ,Higher Secondary School,22.13193209,82.27519824
Chhattisgarh,Bilaspur,Masturi,JANJI,453797,High school Generls,janjee,01:03.9,Education ,High School - General,22.13144819,82.27476458
Chhattisgarh,Bilaspur,Masturi,JANJI,453797,veterinary Hospital,janjee,05:08.5,Medical ,Veterinary Hospital,22.13118021,82.27492205
Chhattisgarh,Bilaspur,Masturi,JANJI,453797,bank,janjee,51:21.2,Transport/Admin,Bank,22.13322259,82.27396978
Chhattisgarh,Bilaspur,Masturi,JAIRAMNAGAR,443234,ventri hospital,Masturi - Jairamnagar Rd,03:32.5,Medical ,Veterinary Hospital,22.03038912,82.29500685
Chhattisgarh,Bilaspur,Masturi,JAIRAMNAGAR,443234,Jairamnagar Wear house,Masturi - Jairamnagar Rd,09:07.6,Agro ,Warehouse,22.03597422,82.30152963
Chhattisgarh,Bilaspur,Masturi,JAIRAMNAGAR,443234,jairamnagar axis bank,Masturi - Jairamnagar Rd,17:00.5,Transport/Admin,Bank,22.03817548,82.29605056
Chhattisgarh,Bilaspur,Masturi,JAIRAMNAGAR,443234,dhan collection kharidi center,jairamnagar,12:07.2,Agro ,Mandi (Notified),22.03885147,82.30140362
Chhattisgarh,Bilaspur,Masturi,JAIRAMNAGAR,443234,Ruban cluster,Jairamnagar,28:57.0,Agro ,Is Part of Rurban Cluster?,22.02871859,82.29309278
Chhattisgarh,Bilaspur,Masturi,JAIRAMNAGAR,443234,Higher Secondary School,Masturi Jairamnagar Rd,00:08.4,Education ,Higher Secondary School,22.0330532,82.29659297
