State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Haryana,Gurgaon,Pataudi,Dadawas,239506,BMB Sr sec school,dadawas,36:38.5,Education ,Higher Secondary School,28.31215831,76.70536416
Haryana,Rewari,  Bawal,KASOLA,521025,phc kasola,vill kasola,38:51.7,Medical ,Primary Health Centre,28.12508617,76.64947035
Haryana,Rewari,  Bawal,KASOLA,521025,gaurav trading company,kasola chowk,01:19.3,Agro ,Warehouse,28.13082986,76.64657121
Haryana,Rohtak,Kalanaur,Katesra,522997,govt sr sec school ,katesra,28:02.6,Education ,Higher Secondary School,28.77031,76.41285167
Haryana,Rohtak,Kalanaur,Katesra,522997,UCO bank,katesra,29:16.2,Transport/Admin,Bank,28.76944167,76.410065
Haryana,Rohtak,Kalanaur,Katesra,522997,gram sachivalaya,katesra,09:31.7,Transport/Admin,Panchayat Headquarter,28.77113167,76.40938833
Haryana,Rohtak,Kalanaur,Katesra,522997,primary health center,katesra,27:50.7,Medical ,Primary Health Centre,28.77158333,76.41130167
Haryana,Rohtak,Kalanaur,Katesra,522997,gram panchayat,katesra,28:54.1,Transport/Admin,Panchayat Headquarter,28.76772333,76.40623333
Haryana,Jhajjar,Matenhail,Khanpur Khurd,546059,sarva haryana gramin bank,khanpur khurd,52:03.8,Transport/Admin,Bank,28.46956872,76.34946809
Haryana,Jhajjar,Matenhail,Khanpur Khurd,546059,sarvodya senior secondary school,khanpur khurd,49:09.0,Education ,Higher Secondary School,28.46353275,76.3430083
Haryana,Jhajjar,Matenhail,Khanpur Khurd,546059,sarvodya college,khanpur khurd,48:49.1,Education ,Degree College,28.46302844,76.34192031
Haryana,Jhajjar,Matenhail,Khanpur Khurd,546059,ransingh filling station indian oil,khanpur khurd,49:21.8,Transport/Admin,Fuel Station,28.46461784,76.34432951
Haryana,Sonepat,Mudlana,Khanpur Khurd,546061,gram panchayat,khanpur khurd,27:02.8,Transport/Admin,Panchayat Headquarter,29.145585,76.64029667
Haryana,Sonepat,Mudlana,Khanpur Khurd,546061,government high school,khanpur khurd,23:12.9,Education ,High School - General,29.14566167,76.64108333
Haryana,Sonepat,Mudlana,Khanpur Khurd,546061,primary health centre,khanpur khurd,29:34.2,Medical ,Primary Health Centre,29.14554667,76.64003833
Haryana,Sonepat,Mudlana,Khanpur Khurd,546061,veteirnary hospital,khanpur khurd,25:30.0,Medical ,Veterinary Hospital,29.145675,76.64052833
Haryana,Jind,Uchana Kalan,Kharak Bhura,547533,Panchayat Ghar,Kharabura,51:10.5,Transport/Admin,Panchayat Headquarter,29.51076883,76.19035455
Haryana,Jind,Uchana Kalan,Kharak Bhura,547533,Rurban cluster,Kharakbura,09:54.3,Agro ,Is Part of Rurban Cluster?,29.5076873,76.18787228
Haryana,Jind,Uchana Kalan,Kharak Bhura,547533,Govt high school,Kharabura,31:17.6,Education ,High School - General,29.50765884,76.18803679
Haryana,Jind,Uchana Kalan,Kharak Bhura,547533,Govt Veterinary Dispensary,Kharakbura,38:46.6,Medical ,Veterinary Hospital,29.51140165,76.19327009
Haryana,Hisar,Hansi-II,Kharbla,547931,Bank,Hansi-2,08:42.3,Transport/Admin,Bank,29.066535,76.154785
Haryana,Jind,Narwana,Khararwal,548233,Govt High School,Khardwal,12:45.6,Education ,High School - General,29.616805,75.96398667
Haryana,Jind,Narwana,Khararwal,548233,Veterniary Hospital,Khardwal,12:04.9,Medical ,Veterinary Hospital,29.61631833,75.96424833
Haryana,Jind,Safidon,Kharkara ,549303,Veterinary hospital,kharkara,37:09.1,Medical ,Veterinary Hospital,29.37669355,76.65170376
Haryana,Jind,Safidon,Kharkara ,549303,hospital,kharkara,05:39.6,Medical ,Veterinary Hospital,29.37625073,76.65144118
Haryana,Fatehabad,Ratia,Dadupur,240301,GRAM SACHIVALYA DADUPUR,VPO DADUPUR,50:23.5,Transport/Admin,Panchayat Headquarter,29.68075749,75.47565715
Haryana,Yamuna Nagar,Jagadhri,Damla,246371,Government higher secondary school,Damla,31:58.5,Education ,Higher Secondary School,30.08594515,77.21448167
Haryana,Hisar,Hansi I,Dayal Singh Colony,256063,arihant filling station,hansi barwala road ,44:26.3,Transport/Admin,Fuel Station,29.12697906,75.9503851
Haryana,Sonepat,Gohana,Katwal,526939,sub health center ,katwal,19:32.3,Medical ,Primary Health Centre,29.04337975,76.75926817
Haryana,Sonepat,Gohana,Katwal,526939,government high school ,katwal ,36:05.9,Education ,High School - General,29.03850113,76.75698013
Haryana,Sonepat,Gohana,Katwal,526939,panchayat head quater ,katwal ,23:47.7,Transport/Admin,Panchayat Headquarter,29.04114115,76.75629568
Haryana,Sonepat,Gohana,Katwal,526939,veterinary Hospital ,katwal ,30:23.3,Medical ,Veterinary Hospital,29.04144584,76.76044879
Haryana,Hisar,Agroha,Khasa Mahajanan,551196,Panchaayat Bhawan,Khasa Mahajan,14:54.2,Transport/Admin,Panchayat Headquarter,29.32160853,75.59169562
Haryana,Hisar,Agroha,Khasa Mahajanan,551196,veterinary Hospital,Khasa Mahajan,08:01.4,Medical ,Veterinary Hospital,29.32243914,75.58971206
Haryana,Hisar,Agroha,Khasa Mahajanan,551196,Govt High School,Khasa Mahajan,14:47.5,Education ,High School - General,29.3224428,75.58900309
Haryana,Jind,Pillukhera,Bhag Khera,131430,high school,baghkhera,19:26.6,Education ,High School - General,29.29138537,76.54829884
Haryana,Jind,Pillukhera,Bhag Khera,131430,medical,bhagkhera,13:21.2,Medical ,Veterinary Hospital,29.29473155,76.54872816
Haryana,Sirsa,Sirsa,Bhamboor,136285,panchayat headquarter,bhamboor,15:43.9,Transport/Admin,Panchayat Headquarter,29.5099862,74.96609693
Haryana,Sirsa,Sirsa,Bhamboor,136285,HDFC Bank,bhamboor,37:46.8,Transport/Admin,Bank,29.51018963,74.9664188
Haryana,Sirsa,Sirsa,Bhamboor,136285,wearhouse,bhamboor,44:58.0,Agro ,Warehouse,29.50733605,74.96375562
Haryana,Sirsa,Sirsa,Bhamboor,136285,vertrinary hospital ,bhamboor,28:43.5,Medical ,Veterinary Hospital,29.51012601,74.96644638
Haryana,Rewari,Rewari,BHARAWAS,139829,primary health centre ,bharawas,21:18.5,Medical ,Primary Health Centre,28.15344764,76.55957619
Haryana,Rewari,Rewari,BHARAWAS,139829,Primary Health Centre and Residencies,Village Bharawas,20:24.1,Medical ,Primary Health Centre,28.15358667,76.55931167
Haryana,Rewari,Rewari,BHARAWAS,139829,govt sec school bharawas,Bharawas road   Bharawas,24:57.3,Education ,Higher Secondary School,28.1522998,76.57142701
