State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Himachal Pradesh,Solan,Nalagarh,Jukhari,472430,Govt Senior  Secondary School Jukhari,Vill Jukhari PO Galot Tehsil Panjehra Solan,46:43.0,Education ,Higher Secondary School,31.2217688,76.72834321
Himachal Pradesh,Mandi,Chachiot,K andha,474302,Govt High School KANDHA,VPO KANDHA,09:26.3,Education ,High School - General,31.55457347,77.09784768
Himachal Pradesh,Mandi,Karsog,Kalashan,487620,Panchayat Headquarter Kalashan,VPO Kalashan  Tehsil Karsog Distt Mandi HP,13:29.1,Transport/Admin,Panchayat Headquarter,31.38519787,77.14254179
Himachal Pradesh,Mandi,Seraj,Kalhania,488785,PHC Kalhani,VPO Kalhani Tehsil Thunag Distt Mandi,04:09.4,Medical ,Primary Health Centre,31.64924339,77.14506155
Himachal Pradesh,Mandi,Seraj,Kalhania,488785,Kalhani,VPO Kalhani Tesil Thunag Distt Mandi HP,42:39.2,Transport/Admin,Panchayat Headquarter,31.64360426,77.14315341
Himachal Pradesh,Mandi,Seraj,Kalhania,488785,Kalhani,VPO Kalhani Tehsil Thunag Distt Mandi,42:14.2,Medical ,Veterinary Hospital,31.64392569,77.14344915
Himachal Pradesh,Mandi,Mandi Sadar,Magal,642966,Panchayat Head Quarter,Village maigal Post office Mandi Sadar,03:29.5,Transport/Admin,Panchayat Headquarter,31.75992833,76.94849
Himachal Pradesh,Mandi,Mandi Sadar,Magal,642966,Government High School,Village Maigal post office Sadar Mandi,02:56.8,Education ,High School - General,31.75969167,76.94822667
Himachal Pradesh,Bilaspur,Gehrwin,Mahora,649221,Himachal Pradesh State Co Operative Bank Mahora,Himachal Pradesh State Co Operative Bank Mahora,31:08.5,Transport/Admin,Bank,31.47454901,76.64161674
Himachal Pradesh,Bilaspur,Gehrwin,Mahora,649221,Govt Senior Secondary School Kapahra at Mohra,Village and post office Kapahra,09:22.5,Education ,Higher Secondary School,31.46682547,76.63997325
Himachal Pradesh,Bilaspur,Gehrwin,Mahora,649221,Primary Health Centre Kapahra at Mohra,Village and post office Kapahra,20:47.3,Medical ,Primary Health Centre,31.4672966,76.6404337
Himachal Pradesh,Bilaspur,Gehrwin,Mahora,649221,Govt Vetenary Dispensary Kapahra at Mohra,Village and post office Kapahra,27:11.1,Medical ,Veterinary Hospital,31.4735326,76.64076467
Himachal Pradesh,Bilaspur,Gehrwin,Mahora,649221,Gram Panchyat  Kapahra at Mohra,Gram Panchyat  Kapahra at Mohra,06:43.1,Transport/Admin,Panchayat Headquarter,31.46720251,76.64023381
Himachal Pradesh,Bilaspur,Gehrwin,Mahora,649221,Government Ayurvedic Health Centre Kapahra at Mohra,Village Mohra PO Kapahra Teh Ghumarwin Distt Bilaspur Himachal Pradesh HP,19:01.0,Medical ,Primary Health Centre,31.47483403,76.64171817
Himachal Pradesh,Bilaspur,Gehrwin,Mahora,649221,The HP State Co Operative Bank Guga Mohra at Mohra,Village Mohra PO Kapahra Teh Ghumarwin Distt Bilaspur Himachal Pradesh HP,15:44.0,Transport/Admin,Bank,31.47475544,76.64141568
Himachal Pradesh,Bilaspur,Gehrwin,Mahora,649221,Govt Ayurvedic Dispensary at Mohra,Village and post office Kapahra,33:01.7,Medical ,Primary Health Centre,31.47479736,76.64183763
Himachal Pradesh,Bilaspur,Bilaspur Sadar,Maithi,652765,Govt Sen. Secondary School Maithi,Maithi,08:21.1,Education ,Higher Secondary School,31.23664167,76.77672833
Himachal Pradesh,Bilaspur,Bilaspur Sadar,Maithi,652765,Veterinary dispensary,Maithi,23:53.9,Medical ,Veterinary Hospital,31.238695,76.79566833
Himachal Pradesh,Bilaspur,Bilaspur Sadar,Maithi,652765,Gram Panchyat Office Maithi,Village Maithi,14:52.0,Transport/Admin,Panchayat Headquarter,31.237485,76.79618333
Himachal Pradesh,Una,Una,Malahat,657870,Government  ITI Una,Village Malahat Post Office Una District Una,39:53.3,Education ,ITI,31.46899438,76.27806642
Himachal Pradesh,Una,Una,Malahat,657870,Vetnary dispensary Malahat Una Himachal Pradesh,VPO MalahatTehsil and District Una,44:40.8,Medical ,Veterinary Hospital,31.46785922,76.28008678
Himachal Pradesh,Shimla,Mashobra,Kair,482426,vetinary hospital,Kiar,11:36.0,Medical ,Veterinary Hospital,31.14201333,77.19453333
Himachal Pradesh,Shimla,Mashobra,Kair,482426,Govt sen sec school,Village post office Kiar Mashobra,12:06.1,Education ,Higher Secondary School,31.14186,77.19441
Himachal Pradesh,Chamba,Pangi,Mahliat,648639,Panchayat Head Qaurter Killar,Village Mahaliat Post Office Killar Tehsil Pangi,57:33.0,Transport/Admin,Panchayat Headquarter,33.0808756,76.40690986
Himachal Pradesh,Chamba,Pangi,Mahliat,648639,State Bank India Gramin Bank,Village Mahaliat Post Office Killar Tehsil Pangi,31:26.1,Transport/Admin,Bank,33.08090817,76.39901428
Himachal Pradesh,Chamba,Pangi,Mahliat,648639,Bus Stand,Main Bazar Killar,39:13.9,Transport/Admin,Bus Stand,33.08253939,76.39765868
Himachal Pradesh,Chamba,Pangi,Mahliat,648639,Block Headquarter Pangi,Village Mahaliat Post Office Killar Tehsil Pangi,32:06.1,Transport/Admin,Block Headquarter,33.08208056,76.39741097
Himachal Pradesh,Chamba,Pangi,Mahliat,648639,Government Degree College Pangi mahliat,Village Mahaliat PO Killar tehsil pangi ,32:22.1,Education ,Degree College,33.08271066,76.39584404
Himachal Pradesh,Chamba,Pangi,Mahliat,648639,Bus Stand,Main Bazar Killar,22:47.0,Transport/Admin,Bus Stand,33.08253939,76.39765868
Himachal Pradesh,Chamba,Pangi,Mahliat,648639,agriculture office,Mahalyiat,29:58.5,Agro ,Collection Centre or Pack House,33.08156083,76.39666253
Himachal Pradesh,Chamba,Pangi,Mahliat,648639,Community Hospital Killar,Village Mahaliat Post Office Killar  Tehsil Pangi ,05:51.9,Medical ,Community Health Centre,33.08113209,76.40655298
Himachal Pradesh,Chamba,Pangi,Mahliat,648639,SBI BANK,Main market killar,43:41.6,Transport/Admin,Bank,33.08134838,76.39835786
Himachal Pradesh,Chamba,Pangi,Mahliat,648639,SBI BANK,Main market killar,14:18.2,Transport/Admin,Bank,33.08134838,76.39835786
Himachal Pradesh,Chamba,Pangi,Mahliat,648639,Auyrvedic health centre Killar,Mahaliyat,24:48.3,Medical ,Community Health Centre,33.08116576,76.40653144
Himachal Pradesh,Chamba,Pangi,Mahliat,648639,HP state co operative bank,Main bazaar Killar,21:32.7,Transport/Admin,Bank,33.08083387,76.39919587
