State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Jammu And Kashmir,Udhampur,Ghordi,Madrota,642463,bus stop,madrota,49:44.2,Transport/Admin,Bus Stand,32.87876167,75.36383
Jammu And Kashmir,Kupwara,Vawoora,Maidanpora,651787,Health and family welfare,maidanpora,29:57.8,Medical ,Primary Health Centre,34.5413687,74.39249802
Jammu And Kashmir,Kupwara,Vawoora,Maidanpora,651787,Intensive Catttle development center,maidanpora,48:21.0,Medical ,Primary Health Centre,34.54009827,74.39595128
Jammu And Kashmir,Kupwara,Vawoora,Maidanpora,651787,Government higher secondary school,maidanpora,54:36.7,Education ,Higher Secondary School,34.54208115,74.39615236
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,pnb bank,seri bazar bhaderwah,46:13.1,Transport/Admin,Bank,32.9800628,75.71777209
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,veterinary hospital,passri bhaderwah,14:40.4,Medical ,Veterinary Hospital,32.98111013,75.71296957
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,govt high school,nagar,10:01.9,Education ,High School - General,32.97790094,75.71564594
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,bus stand seri bazar,seri  bazar bhaderwah,35:24.3,Transport/Admin,Bus Stand,32.98013333,75.71803973
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,govt girls hr sec school,link road bhaderwah,00:01.9,Education ,Higher Secondary School,32.98300503,75.71773913
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,coperative society,link road bhaderwah,20:30.8,Agro ,Agro Industry,32.98227834,75.71755733
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,radiant academy high school,college link road,37:42.4,Education ,High School - General,32.98264774,75.71234081
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,j&k bank,bhaderwah,39:11.1,Transport/Admin,Bank,32.97999265,75.71751222
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,ellaquai dehati bank,link road bhaderwah,12:10.7,Transport/Admin,Bank,32.98563579,75.71626928
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,passri bus stand,passri,47:07.3,Transport/Admin,Bus Stand,32.98090997,75.71379539
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,govt Industrial training institute,link road bhaderwah,17:48.4,Education ,ITI,32.98554918,75.71641209
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,GOVT  HR SEC SCHOOL BOYS,link road bhaderwah,06:24.5,Education ,Higher Secondary School,32.98674218,75.71574581
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,green model high school,qilla mohalla bhaderwah,43:56.5,Education ,High School - General,32.97837427,75.71367054
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,central cooperative bank,bhaderwah,52:33.5,Transport/Admin,Bank,32.97938744,75.7161492
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,kendriya vidyalaya hr sec school,link road bhaderwah,22:58.5,Education ,Higher Secondary School,32.98341286,75.71737312
Jammu And Kashmir,Doda,Bhaderwah,Nagar,742280,icici bank,link road,43:25.9,Transport/Admin,Bank,32.98404226,75.71771163
