State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Jharkhand,Palamu,Patan,BANDUA,89712,middle school,Bandua,25:42.2,Education ,High School - General,24.10575954,84.16617979
Jharkhand,Purbi Singhbhum,Potka,Bangora,91082,ITI Bangora,Bangora,09:54.6,Education ,ITI,22.72067509,86.31224251
Jharkhand,Pakur,Pakuria,BANOGRAM,94222,Panchayat Headquarter,"Panchayat Headquarter
Banogram",51:53.0,Transport/Admin,Panchayat Headquarter,24.30973334,87.74532101
Jharkhand,Sahibganj,Patna,Bara Dighi,96745,ANM Centre,Bara Dighi Pathna,33:40.0,Medical ,Primary Health Centre,24.89094227,87.7757858
Jharkhand,Sahibganj,Patna,Bara Dighi,96745,Post Bank,Bara Dighi Pathna,40:14.8,Transport/Admin,Bank,24.88960573,87.77680629
Jharkhand,Sahibganj,Patna,Bara Dighi,96745,Primary school Middle school,Bara Dighi Pathna,27:11.8,Education ,High School - General,24.89959002,87.78195798
Jharkhand,Sahibganj,Patna,Bara Dighi,96745,Bus Service,Bara Dighi Pathna,30:10.2,Transport/Admin,Bus Stand,24.88927015,87.77847317
Jharkhand,Koderma,Jainagar,Baradih,97498,Primary School Baradih,Baradih,08:19.5,Education ,Higher Secondary School,24.37079663,85.58778966
Jharkhand,Koderma,Jainagar,Baradih,97498,Panchayat Headquarter Baradih,Baradih,58:42.2,Transport/Admin,Panchayat Headquarter,24.35886667,85.57486167
Jharkhand,Koderma,Jainagar,Baradih,97498,Middle School Baradih,Baradih,07:42.6,Education ,Higher Secondary School,24.3709453,85.58768337
Jharkhand,Koderma,Jainagar,Baradih,97498,Bus Stand Baradih,Baradih,07:31.0,Transport/Admin,Bus Stand,24.3708989,85.5836596
Jharkhand,Koderma,Satgawn,Bariyadih,104918,Fuel Station Bariardih,Bariardih,09:05.3,Transport/Admin,Fuel Station,24.73856823,85.79535699
Jharkhand,Godda,Sunderpahari,Bariyarpur,105054,upgraded middle school bariyarpur,Bariyarpur,25:03.9,Education ,High School - General,24.63741034,87.38540705
Jharkhand,Chatra,Tandwa,Barwa Toli,105888,Project girls high school,barwa toli tandwa,50:04.6,Education ,High School - Girls,23.85511637,85.02987742
Jharkhand,Pakur,Hiranpur,BARMASIA,106356,Barmsia Panchayat,Barmasia,11:06.7,Transport/Admin,Panchayat Headquarter,24.72071015,87.71655143
Jharkhand,Bokaro,Chas,Baruwadih,108696,school,barudih,19:50.2,Education ,High School - General,23.59253613,86.07678541
Jharkhand,Bokaro,Chas,Baruwadih,108696,bus stsnd,baruwadih,20:47.5,Transport/Admin,Bus Stand,23.58719445,86.06130556
Jharkhand,Dhanbad,Govindpur,Barwa Purab,108879,maha Maya filing station ,GT road ,11:04.9,Transport/Admin,Fuel Station,23.80181329,86.61838502
Jharkhand,Dhanbad,Govindpur,Barwa Purab,108879,Sahara hospital ,"barwa purva
",30:45.7,Medical ,Primary Health Centre,23.79984189,86.63135959
Jharkhand,Dhanbad,Govindpur,Barwa Purab,108879,heritage school ,"barwa purva main road
",31:52.5,Education ,High School - General,23.80693236,86.63252677
Jharkhand,Dhanbad,Govindpur,Barwa Purab,108879,sbi,"barwa purv 
",31:07.8,Transport/Admin,Bank,23.7997924,86.63135074
Jharkhand,Dhanbad,Govindpur,Barwa Purab,108879,Canera Bank Barwa East,Barwa East Govindpur Dhanbad,32:04.3,Transport/Admin,Bank,23.79866976,86.63189979
Jharkhand,Dhanbad,Govindpur,Barwa Purab,108879,Barwa Purva Haat Govindpur,Barwa East Govindpur Dhanbad,54:17.4,Agro ,Mandi (Notified),23.79967351,86.63216779
Jharkhand,Dumka,Dumka Sadar,Beharabank,119724,panchayat bhawan,Behrabank,58:08.8,Transport/Admin,Panchayat Headquarter,24.23518908,87.2880561
Jharkhand,Jamtara,Narayanpur,Bandarchuya,87851,Panchayat Headquarter,Bandarchuya Narayanpur,42:21.3,Transport/Admin,Panchayat Headquarter,24.1045352,86.59600873
Jharkhand,Jamtara,Narayanpur,Bandarchuya,87851,CSP SBI,Bandarchuya Narayanpur Jamtara,47:25.1,Transport/Admin,Bank,24.10722345,86.59540122
Jharkhand,Dumka,Ramgarh,Bandarjora,87908,Govt High School Bandarjora,Bandarjora,48:38.1,Education ,High School - General,24.46817233,87.25056198
Jharkhand,Dumka,Ramgarh,Bandarjora,87908,PANCHAYAT HEADQUARTER,BANDARJORA,38:26.4,Transport/Admin,Panchayat Headquarter,24.46773135,87.25067058
Jharkhand,Bokaro,Jaridhi,Bandhdih,88794,Community Health Centre Bandhdih,Bandhdih,59:06.3,Medical ,Community Health Centre,23.66074297,86.01296897
Jharkhand,Bokaro,Jaridhi,Bandhdih,88794,Higher secondary school Bandhdih,Bandhdih,57:09.4,Education ,Higher Secondary School,23.66066271,86.01357716
Jharkhand,Bokaro,Jaridhi,Bandhdih,88794,Veterinary Hospital Bandhdih,Bandhdih,49:59.5,Medical ,Veterinary Hospital,23.66265291,86.01566836
Jharkhand,Bokaro,Jaridhi,Bandhdih,88794,High school Bandhdih,Bandhdih,02:08.6,Education ,High School - General,23.66179385,86.00296358
Jharkhand,Bokaro,Jaridhi,Bandhdih,88794,Panchayat Headquarter Bandhdih,Bandhdih,32:51.7,Transport/Admin,Panchayat Headquarter,23.65648647,86.02348289
Jharkhand,Bokaro,Jaridhi,Bandhdih,88794,Cold storage Bandhdih,Bandhdih,54:37.9,Agro ,Cold Storage,23.66110678,86.015146
Jharkhand,Bokaro,Jaridhi,Bandhdih,88794,ITI Bandhdih,Bandhdih,39:27.0,Education ,ITI,23.6607537,86.01172241
Jharkhand,Bokaro,Jaridhi,Bandhdih,88794,Mandi Bandhdih,Bandhdih,52:11.0,Agro ,Mandi (Notified),23.66124102,86.01540626
Jharkhand,Bokaro,Jaridhi,Bandhdih,88794,Bus stand Bandhdih,Bandhdih,39:19.2,Transport/Admin,Bus Stand,23.66396409,85.99956572
