State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Manipur,Senapati,Mao Maram T.D. Block,Makhel Khunou,656384,Primary school,Makhel Khunou,30:22.4,Education ,High School - General,25.40466167,94.13929667
Manipur,Senapati,Kangpokpi T.D.Block,Makuiashang,657145,Makuli High School,Makuiasang,08:30.9,Education ,High School - General,25.15869526,93.8226608
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,The Trio Standard English School,Keirao Litan Makhong,31:27.7,Education ,High School - General,24.73048122,93.97434779
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Panchayat Ghar,Kyamgei Muslim Arapti,42:26.8,Transport/Admin,Panchayat Headquarter,24.73897787,93.94927969
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Waiting shed,Kiyamgei palli kachin,30:45.4,Transport/Admin,Bus Stand,24.73535622,93.9603599
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Market shed 2,Keirao Urup Thongkhong Bazar,31:58.9,Agro ,Mandi (Notified),24.73048122,93.97434779
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Waiting shed 4,Kiyamgei Takhok Makha,33:33.2,Transport/Admin,Bus Stand,24.7366977,93.95940411
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Kiyamgei PrimarySschool,Kiyamgei Muslim,32:18.4,Education ,Higher Secondary School,24.73489622,93.96202672
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Market Shed3,kiyamgei Muslim Awang Leikai,12:16.6,Agro ,Mandi (Notified),24.73539997,93.960328
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Market Shed Kiyamgei,kyamgei Muslim arapti,15:47.6,Agro ,Mandi (Notified),24.73665697,93.95932289
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Market shed 3,Kiyamgei Muslim Arapti,32:37.0,Agro ,Mandi (Notified),24.73544674,93.95045735
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Keirao Primary School,Keirao Urup Thongkhong Bazar,31:44.2,Education ,Higher Secondary School,24.73048122,93.97434779
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Bus Stand3,kiyamgei mamang Leikai,12:40.5,Transport/Admin,Bus Stand,24.72208374,93.95437246
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,The Kyamgei High Madrassa,Kyamgei Muslim Arapti,44:19.2,Education ,High School - General,24.72699586,93.95342723
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Waiting shed 2,Urup khunou,30:57.6,Transport/Admin,Bus Stand,24.73327981,93.9662155
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Market shed,Kyamgei Muslim Arapti,43:03.7,Agro ,Mandi (Notified),24.73640672,93.95956554
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Bus Stand2,kiyamgei awang leikai,11:37.3,Transport/Admin,Bus Stand,24.73547595,93.96034254
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Panchayat Ghar,Kiyamgei Muslim Arapti,33:08.2,Transport/Admin,Block Headquarter,24.7366977,93.95940411
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,The Kiyamgei High Madrassa,Kiyamgei,30:18.5,Education ,High School - General,24.72696694,93.95337953
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Health and Wellness center,Kyamgei Muslim Arapti,43:26.7,Medical ,Primary Health Centre,24.72640703,93.95536378
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Takhok Makha Primary,Kiyamgei Takhok,33:22.0,Education ,Higher Secondary School,24.7366977,93.95940411
Manipur,Imphal East,Imphal East _II C.D.Block,Kiyamgei Muslim,567415,Waiting shed 3,Keirao Litan Makhong,31:15.6,Transport/Admin,Bus Stand,24.73048122,93.97434779
Manipur,Senapati,Paomata T.D.Block,Paomata,821331,Paomata Govt. high school,Paomata,25:32.0,Education ,High School - General,25.47602667,94.20644333
Manipur,Senapati,Paomata T.D.Block,Paomata,821331,Bus waiting shed,Paomata,24:46.4,Transport/Admin,Bus Stand,25.47828333,94.208975
Manipur,Senapati,Paomata T.D.Block,Paomata,821331,Primary school,Paomata,27:30.4,Education ,High School - General,25.47318167,94.21090667
Manipur,Senapati,Paomata T.D.Block,Paomata,821331,Co operative Bank,Paomata,23:12.0,Transport/Admin,Bank,25.48014167,94.210175
Manipur,Senapati,Paomata T.D.Block,Paomata,821331,Primary Health Centre,Paomata,22:22.8,Medical ,Primary Health Centre,25.478505,94.20799833
Manipur,Senapati,Paomata T.D.Block,Paomata,821331,Paomata market,Paomata,26:36.2,Agro ,Mandi (Notified),25.475465,94.20671833
Manipur,Senapati,Paomata T.D.Block,Paomata,821331,"SDO, SDM, BDO",Paomata,23:55.7,Transport/Admin,Block Headquarter,25.478075,94.208765
Manipur,Chandel,Chandel T.D.Block,Paraolon,823305,bus stand,paraolon,21:39.5,Transport/Admin,Bus Stand,24.20805526,94.10684819
Manipur,Chandel,Chandel T.D.Block,Paraolon,823305,PHC,paraolon,21:05.0,Medical ,Primary Health Centre,24.20782386,94.10727245
Manipur,Churachandpur,Parbung T.D.Block,Parbung,824675,Parbung SDO office,Parbung,32:16.2,Transport/Admin,Block Headquarter,24.25551667,93.10602167
Manipur,Churachandpur,Parbung T.D.Block,Parbung,824675,Bustand,Parbung,33:27.5,Transport/Admin,Bus Stand,24.24123333,93.10069167
Manipur,Churachandpur,Parbung T.D.Block,Parbung,824675,Pack House,Parbung,33:20.9,Agro ,Collection Centre or Pack House,24.25295167,93.10401833
