State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Meghalaya,Ribhoi,Umling,Baridua 10th Mile,104363,Sconce thinology institution baridua,Baridua 10th mile,28:39.7,Education ,Degree College,26.10354781,91.84622347
Meghalaya,West Garo Hills,Dalu,BORUAPARA,108300,BORUAPARA WEEKLY MARKET,SESENGPARA ,46:22.0,Agro ,Mandi (Notified),25.26269,90.12373
Meghalaya,Ribhoi,Jirang,Centre village (New Jirang),188602,Centre Village,Centre Village,58:08.1,Transport/Admin,Panchayat Headquarter,25.91207579,91.58322599
Meghalaya,East Garo Hills,Dambo Rongjeng ,Mangsang Bamil,672594,Mangsang Secondary School,Mangsang Bamil,35:29.3,Education ,Higher Secondary School,25.66703805,90.91144016
Meghalaya,East Garo Hills,Dambo Rongjeng ,Mangsang Bamil,672594,Primary Health Centre,Mangsang Bamil,34:15.5,Medical ,Primary Health Centre,25.67066023,90.91064483
Meghalaya,East Garo Hills,Dambo Rongjeng ,Mangsang Bamil,672594,Govt Waiting Shed,Mangsang,40:26.5,Transport/Admin,Bus Stand,25.66665314,90.91171309
Meghalaya,East Garo Hills,Dambo Rongjeng ,Mangsang Bamil,672594,Community Hall,Mangsang Bamil,37:09.3,Transport/Admin,Panchayat Headquarter,25.66638672,90.91077199
Meghalaya,East Garo Hills,Dambo Rongjeng ,Mangsang Bamil,672594,State Bank of India,Mangsang,08:10.8,Transport/Admin,Bank,25.66508333,90.91239167
Meghalaya,East Garo Hills,Dambo Rongjeng ,Mangsang Bamil,672594,Mangsang Night High School,Mangsang Bamil,37:52.5,Education ,High School - General,25.66715373,90.91143147
Meghalaya,East Khasi Hills,Mawkynrew, Kharang,697,Kong Barr Memorial Hospital,Kharang,40:56.7,Medical ,Bedded Hospital,25.46796167,92.01412
Meghalaya,East Khasi Hills,Mawkynrew, Kharang,697,Annie Margaret Barr Sec School,Kharang,36:20.9,Education ,Higher Secondary School,25.46304,92.01040333
Meghalaya,East Khasi Hills,Mawphlang,Kyiem,704,Bus Stand ,Kyiem,54:12.4,Transport/Admin,Bus Stand,25.43220393,91.73201644
Meghalaya,East Khasi Hills,Mawphlang,Laitlyngkhoi,747,lyndetkhlaw presbyterian school,laitlyngkhoi,14:51.7,Education ,High School - General,25.48682,91.62009333
Meghalaya,East Khasi Hills,Pynursla, Langkawet,754,"Community Hall, Langkawet",Langkawet,02:45.5,Transport/Admin,Panchayat Headquarter,25.33373112,91.91372402
Meghalaya,East Khasi Hills,Mawryngkneng, Mawlyndep,854,Bus Stand ,Mawlyndep,36:16.9,Transport/Admin,Bus Stand,25.53841458,91.98078659
Meghalaya,East Khasi Hills,Mawphlang,Mawmaram,861,Bus Stand Mawmaram,Mawmaram,51:22.0,Transport/Admin,Bus Stand,25.522525,91.69552
Meghalaya,East Khasi Hills,Pynursla, Nongkhlieng,940,Dorbar Hall,Nongkhlieng,28:57.3,Transport/Admin,Panchayat Headquarter,25.32559,91.94650833
Meghalaya,East Khasi Hills,Pynursla, Nongskhen,961,dorbar hall,nongshken,41:49.7,Transport/Admin,Panchayat Headquarter,25.20411667,91.87123833
Meghalaya,East Khasi Hills,Pynursla, Pomlum,990,dorbar hall,pomlum,37:03.4,Transport/Admin,Panchayat Headquarter,25.41010387,91.87384874
Meghalaya,East Khasi Hills,Pynursla, Pynursla,997,St Anthonys Higher Secondary School,Pynursla,49:28.4,Education ,Higher Secondary School,25.31048707,91.89709346
Meghalaya,East Khasi Hills,Pynursla, Pynursla,997,dong pynursla dorbar hall,pynursla,54:13.1,Transport/Admin,Panchayat Headquarter,25.31024835,91.89880675
Meghalaya,East Khasi Hills,Pynursla, Pynursla,997,meghalaya co operative apex bank ltd,pynursla,56:06.9,Transport/Admin,Bank,25.30979611,91.89905197
Meghalaya,East Khasi Hills,Pynursla, Pynursla,997,Pdeng Raid Border Area Secondary school,pynursla,10:01.2,Education ,High School - General,25.30727319,91.9011252
Meghalaya,West Garo Hills,Zikzak,Boldamgiri,173550,Boldamgiri Deficit Secondary School,Boldamgiri,47:55.1,Education ,High School - General,25.45839615,89.85260736
Meghalaya,East Khasi Hills,Mawkynrew, Jatah Lakadong,691,Jatah P H C,Jatah Lakadong,12:01.4,Medical ,Primary Health Centre,25.40406422,92.05250892
Meghalaya,East Khasi Hills,Mawkynrew, Jatah Lakadong,691,St paul Secondary School Jatah Lakadong,Jatah Lakadong,29:04.4,Education ,High School - General,25.40770682,92.04764323
Meghalaya,East Khasi Hills,Mylliem, Kreit,709,secondary school,kreit,40:13.7,Education ,High School - General,25.59273667,91.80484333
Meghalaya,East Khasi Hills,Mawryngkneng, Mawpdang,874,Mawpdang RCUP School,Mawpdang,28:31.7,Education ,High School - General,25.5851675,91.99024328
Meghalaya,East Khasi Hills,Mawryngkneng, Mawpdang,874,Minot Sec School,Mawpdang,28:17.8,Education ,High School - General,25.58713104,91.99125088
Meghalaya,East Khasi Hills,Mawryngkneng, Mawryngkneng,891,Meghalaya Rural Bank,Mawryngkneng,08:54.5,Transport/Admin,Bank,25.55168508,92.05967157
Meghalaya,East Khasi Hills,Mawryngkneng, Mawryngkneng,891,Mawryngkneng College ,Mawryngkneng,48:31.9,Education ,Degree College,25.55191686,92.06132689
Meghalaya,East Khasi Hills,Mawryngkneng, Mawryngkneng,891,Mawryngkneng HR Sec School,Mawryngkneng,45:14.6,Education ,Higher Secondary School,25.55468259,92.06085929
Meghalaya,East Khasi Hills,Mawryngkneng, Mawryngkneng,891,Mawryngkneng C And RD Block,Mawryngkneng,40:22.8,Transport/Admin,Block Headquarter,25.5513067,92.05035116
Meghalaya,East Khasi Hills,Mawryngkneng, Mawryngkneng,891,Govt UP School,Mawryngkneng,43:39.9,Education ,High School - General,25.5548732,92.06083464
Meghalaya,East Khasi Hills,Mawryngkneng, Mawryngkneng,891,Mawryngkneng Primary Health Centre,Mawryngkneng,41:56.2,Medical ,Primary Health Centre,25.55060178,92.05325401
Meghalaya,East Khasi Hills,Mawryngkneng, Mawryngkneng,891,Punjab National Bank,Mawryngkneng,56:03.1,Transport/Admin,Bank,25.5509683,92.0570123
Meghalaya,East Khasi Hills,Mawryngkneng, Mawryngkneng,891,Meghalaya Cooperative Apex Bank,Mawryngkneng,54:15.3,Transport/Admin,Bank,25.55190989,92.06128118
Meghalaya,East Khasi Hills,Mawryngkneng, Mawryngkneng,891,Market Place,Mawryngkneng,46:48.0,Agro ,Mandi (Notified),25.55179517,92.06165737
Meghalaya,East Khasi Hills,Mawryngkneng, Mawryngkneng,891,Radiant Adventist Sec School,Mawryngkneng,45:57.4,Education ,High School - General,25.55378939,92.06193202
Meghalaya,East Khasi Hills,Mawryngkneng, Nongkrem,942,Nongkrem Higher Sec School,Nongkrem,21:27.8,Education ,Higher Secondary School,25.50089322,91.8825842
Meghalaya,East Khasi Hills,Mawryngkneng, Nongkrem,942,Meghalaya Rural Bank,Nongkrem,21:45.9,Transport/Admin,Bank,25.49988632,91.88126758
Meghalaya,East Khasi Hills,Mawryngkneng, Nongkrem,942,Nongkrem Presbyterian Sec School,Nongkrem,22:00.4,Education ,High School - General,25.49608078,91.884544
Meghalaya,East Khasi Hills,Pynursla, Nongshyrngan,960,community hall,Nongshyrngan,28:58.8,Transport/Admin,Panchayat Headquarter,25.25691554,91.94953806
Meghalaya,East Khasi Hills,Mawphlang, Phanniewlah,977,Phanniewlah Sec School ,Phanniewlah,07:53.1,Education ,High School - General,25.416915,91.70715328
Meghalaya,East Khasi Hills,Pynursla, Umnuih Tmar,1074,community hall,umniuh tmar,42:22.0,Transport/Admin,Panchayat Headquarter,25.20278,91.83610167
Meghalaya,East Khasi Hills,Pynursla, Umnuih Tmar,1074,higher second dary,umniuh tmar,42:51.0,Education ,High School - General,25.20317333,91.83564167
Meghalaya,West Garo Hills,Selsella,Garodubi,349343,Garodubi Secondary School,Garodubi,17:59.0,Education ,Higher Secondary School,25.76656174,89.96495085
Meghalaya,West Garo Hills,Selsella,Garodubi,349343,Al Amin Islamia English Academy Moktab,Garodubi,26:42.2,Education ,Higher Secondary School,25.76629535,89.96348663
