State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Mizoram,Kolasib,Thingdawl,Buhchangphai,184803,Saw mill,Buhchangphai,58:52.2,Agro ,Agro Industry,24.33503355,92.65624584
Mizoram,Kolasib,Thingdawl,Buhchangphai,184803,Bus stand,Buhchangphai,57:56.8,Transport/Admin,Bus Stand,24.33507488,92.65542451
Mizoram,Kolasib,Thingdawl,Buhchangphai,184803,High school General,Buhchangphai,01:21.4,Education ,High School - General,24.33435423,92.65428191
Mizoram,Kolasib,Thingdawl,Buhchangphai,184803,Panchayati Headquarter,Buhchangphai,00:30.7,Transport/Admin,Panchayat Headquarter,24.33605995,92.65913386
Mizoram,Lawngtlai,Lawngtlai,Bungtlang  S,185575,"Office of the Village Council Court, Bungtlang S",Bungtlang South,01:53.4,Transport/Admin,Panchayat Headquarter,22.3585088,92.75944587
Mizoram,Lawngtlai,Lawngtlai,Bungtlang  S,185575,"Primary Health Centre, Bungtlang South",Bungtlang South,59:57.6,Medical ,Primary Health Centre,22.35789656,92.75768602
Mizoram,Lawngtlai,Lawngtlai,Bungtlang  S,185575,"State Veterinary Dispensary, Bungtlang South",Bungtlang Soutg,06:09.2,Medical ,Veterinary Hospital,22.35109781,92.75827625
Mizoram,Lawngtlai,Lawngtlai,Bungtlang  S,185575,"NUNU SUMO COUNTER, Bungtlang South to Lawngtlai",Bungtlang South,02:58.4,Transport/Admin,Bus Stand,22.35912159,92.75948658
Mizoram,Lawngtlai,Lawngtlai,Bungtlang  S,185575,Bungtlang South Police Out Post,Bungtlang South,48:50.7,Transport/Admin,Panchayat Headquarter,22.36109379,92.75952288
Mizoram,Lawngtlai,Lawngtlai,Bungtlang  S,185575,"Mizoram Rural Bank, South Bungtlang Branch,(Owned by Govt. of India)",Bungtlang South.,00:57.8,Transport/Admin,Bank,22.35358974,92.75796309
Mizoram,Lawngtlai,Lawngtlai,Bungtlang  S,185575,"Office of the Block Development Officer, Bungtlang South.",Bungtlang South,04:25.1,Transport/Admin,Block Headquarter,22.3491939,92.75991327
Mizoram,Lawngtlai,Lawngtlai,Bungtlang  S,185575,"GOVT. HIGH SCHOOL, BUNGTLANG SOUTH",Bungtlang South,58:26.8,Education ,High School - General,22.36289166,92.76042137
Mizoram,Aizawl,Thingsulthliah,Keifang,531221,Fuel Station,keifang,49:47.2,Transport/Admin,Fuel Station,23.65384833,92.94292667
Mizoram,Aizawl,Thingsulthliah,Keifang,531221,Village Council House,Keifang,06:35.9,Transport/Admin,Panchayat Headquarter,23.67003161,92.96164318
Mizoram,Aizawl,Thingsulthliah,Keifang,531221,Higher Secondary School,Keifang,50:43.2,Education ,Higher Secondary School,23.66306545,92.96240664
Mizoram,Aizawl,Thingsulthliah,Keifang,531221,State Veterinary Dispensary,Saitual,09:27.5,Medical ,Veterinary Hospital,23.67629758,92.96314613
Mizoram,Aizawl,Thingsulthliah,Keifang,531221,Mizoram Rural Bank,Keifang,07:59.4,Transport/Admin,Bank,23.66853494,92.96191847
Mizoram,Aizawl,Aibawk,Kelsih,532091,VC  House,Kelson Village,24:46.1,Transport/Admin,Panchayat Headquarter,23.63597667,92.72190667
Mizoram,Aizawl,Aibawk,Kelsih,532091,Market,Kelson Village,24:33.8,Agro ,Collection Centre or Pack House,23.64382333,92.72598833
Mizoram,Aizawl,Darlawn,Khawruhlian,553364,Zoram High School at Khawruhlian,Khawruhlian,58:26.3,Education ,High School - General,23.8720243,92.87434157
Mizoram,Aizawl,Darlawn,Khawruhlian,553364,Village Council House at Khawruhlian,Khawruhlian,55:06.4,Transport/Admin,Panchayat Headquarter,23.86880703,92.87656115
Mizoram,Aizawl,Darlawn,Khawruhlian,553364,Bazaar Shed at Khawruhlian,Khawruhlian,41:22.8,Agro ,Mandi (Notified),23.87030002,92.87508956
Mizoram,Aizawl,Darlawn,Khawruhlian,553364,Sobji Bazaar Shed at Khawruhlian,Khawruhlian,58:00.7,Agro ,Mandi (Notified),23.87005043,92.87516455
Mizoram,Aizawl,Thingsulthliah,Maite,652743,high school,maite,02:44.6,Education ,High School - General,23.52032833,92.99143333
Mizoram,Aizawl,Thingsulthliah,Maite,652743,VC House,Maite,03:36.7,Transport/Admin,Panchayat Headquarter,23.52149718,92.99484704
Mizoram,Kolasib,Thingdawl,Bukvannei,185114,Panchayati Headquarter,Bukvannei,56:15.8,Transport/Admin,Panchayat Headquarter,24.29374924,92.63754538
Mizoram,Kolasib,Thingdawl,Bukvannei,185114,Bus stand,Bukvannei,55:15.2,Transport/Admin,Bus Stand,24.29392737,92.639697
Mizoram,Kolasib,Thingdawl,Bukvannei,185114,Oil Palm processing plant,Bukvannei,15:36.5,Agro ,Agro Industry,24.30333587,92.63852023
Mizoram,Champhai,Khawzawl,Champhai III,199218,Village Council House,Bulfekzawl,44:19.2,Transport/Admin,Panchayat Headquarter,23.31651333,93.36480333
Mizoram,Champhai,Khawzawl,Champhai III,199218,Secondary School,Hruaikawn,44:47.3,Education ,Higher Secondary School,23.34923333,93.34530667
Mizoram,Champhai,Khawzawl,Champhai III,199218,Govt Bulfekzawl Middle School,Bulfekzawl,43:46.3,Education ,High School - General,23.31881167,93.36591333
Mizoram,Lawngtlai,Chawngte,Devasora  N,263862,Devadora N Comph. Middle School,Dvasora N,10:58.1,Education ,High School - General,22.34762421,92.63060883
Mizoram,Lawngtlai,Chawngte,Devasora  N,263862,Community Hall,Devasora N,10:20.1,Education ,High School - General,22.34620838,92.63193122
Mizoram,Champhai,Ngopa,N E Bualpui,736172,Hliappui HSS,Hliappui,37:55.3,Education ,Higher Secondary School,23.75409901,93.10009181
Mizoram,Champhai,Ngopa,N E Bualpui,736172,Mizoram Rural Bank,Hliappui,38:28.4,Transport/Admin,Bank,23.74887407,93.10294569
Mizoram,Lunglei,Lungsen,Kauchhuah,527068,Rice mill,Kauchhuah,03:08.9,Agro ,Sugar Mills,22.948925,92.59425833
Mizoram,Lunglei,Lungsen,Kauchhuah,527068,Panchayat headquarter,Putlungasih,58:42.1,Transport/Admin,Panchayat Headquarter,22.94750333,92.59744333
Mizoram,Mamit,W.Phaileng,Khantlang,546337,Bazar Shed,Khanglang Dui Kilo,14:18.7,Agro ,Mandi (Notified),23.760825,92.26846833
Mizoram,Mamit,W.Phaileng,Khantlang,546337,VC House,Khantlang,11:49.8,Transport/Admin,Panchayat Headquarter,23.750605,92.271355
Mizoram,Mamit,W.Phaileng,Khantlang,546337,BazarShed,Khanglang Dui Kilo,28:07.0,Agro ,Mandi (Notified),23.760825,92.26846833
Mizoram,Saiha,Tuipang,Laki,615508,Bazar Shed,Vaipi,12:36.3,Agro ,Warehouse,22.14973386,93.01037023
Mizoram,Saiha,Tuipang,Laki,615508,Godown,Vaipi,15:20.3,Agro ,Warehouse,22.14886022,93.01041752
Mizoram,Saiha,Tuipang,Laki,615508,Laki Bus Stand,Vaipi,11:56.8,Transport/Admin,Bus Stand,22.14975124,93.01037876
Mizoram,Saiha,Tuipang,Laki,615508,VC Court House,vaipi,17:06.6,Transport/Admin,Panchayat Headquarter,22.1493923,93.01100642
Mizoram,Saiha,Tuipang,Laki,615508,Border High School,vaipi,13:31.1,Education ,High School - General,22.14707681,93.00929632
Mizoram,Champhai,Ngopa,Lamzawl,620191,Middle School.,Lamzawl,58:26.1,Education ,High School - General,23.8177525,93.20672142
Mizoram,Champhai,Ngopa,Lamzawl,620191,VCHouse,Lamzawl,56:57.6,Transport/Admin,Panchayat Headquarter,23.8176787,93.20663274
Mizoram,Aizawl,Darlawn,N Khawdungsei,736255,VC house at N Khawdungsei,N Khawdungsei,33:42.3,Transport/Admin,Panchayat Headquarter,24.22025385,92.92075493
Mizoram,Aizawl,Darlawn,N Serzawl,736428,N Serzawl Secondary School at N Serzawl,N Serzawl,34:45.7,Education ,Higher Secondary School,24.02553496,92.88860098
Mizoram,Aizawl,Darlawn,N Serzawl,736428,N Serzawl Seconday School at N Serzawl,N Serzawl,37:37.6,Education ,Higher Secondary School,24.02558513,92.88862394
Mizoram,Aizawl,Darlawn,N Serzawl,736428,VC house at N Serzawl,N Serzawl,35:13.5,Transport/Admin,Panchayat Headquarter,24.02739512,92.89130613
Mizoram,Kolasib,Thingdawl,Pangbalkawn,818979,Pangbalkawn High School,Pangbalkawn,46:37.2,Education ,High School - General,24.21382313,92.60804492
Mizoram,Kolasib,Thingdawl,Pangbalkawn,818979,Village Council House,Pangbalkawn,45:37.2,Transport/Admin,Panchayat Headquarter,24.20741916,92.60682821
Mizoram,Kolasib,Thingdawl,Pangbalkawn,818979,Bazar Shed,Pangbalkawn,46:08.5,Agro ,Mandi (Notified),24.20720994,92.60703743
Mizoram,Kolasib,Thingdawl,Pangbalkawn,818979,Saw Mill2,Pangbalkawn,48:39.1,Agro ,Agro Industry,24.20666814,92.60632932
