State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Nagaland,Dimapur,Medziphema,Naharbari,749569,fuel stand,naharbari,25:36.2,Transport/Admin,Fuel Station,25.89889167,93.75346333
Nagaland,Dimapur,Medziphema,Naharbari,749569,bus stand,Naharbari,01:15.7,Transport/Admin,Bus Stand,25.90247333,93.75084833
Nagaland,Dimapur,Medziphema,Naharbari,749569,ware house 3,Naharbari,26:50.2,Agro ,Warehouse,25.90023667,93.75247333
Nagaland,Dimapur,Medziphema,Naharbari,749569,GHS,Naharbari,01:33.0,Education ,High School - General,25.90024333,93.75086667
Nagaland,Dimapur,Medziphema,Naharbari,749569,St Xavier residential school,Naharbari,54:22.1,Education ,High School - General,25.903815,93.748895
Nagaland,Dimapur,Medziphema,Naharbari,749569,Naharbari vill council,Naharbari,02:25.8,Transport/Admin,Panchayat Headquarter,25.90000667,93.75106833
Nagaland,Dimapur,Medziphema,Naharbari,749569,ware house 1,Naharbari,26:01.3,Agro ,Warehouse,25.89953667,93.75281333
Nagaland,Dimapur,Medziphema,Naharbari,749569,St teressas school,Naharbari,03:29.3,Education ,High School - General,25.89889667,93.750815
Nagaland,Dimapur,Medziphema,Naharbari,749569,warehouse 2,Naharbari,26:26.3,Agro ,Warehouse,25.89953,93.75285833
Nagaland,Tuensang,Sangsangnyu,KHUDEI,592269,mandi,khudei,26:12.8,Agro ,Mandi (Notified),26.26088917,94.76529417
Nagaland,Tuensang,Sangsangnyu,KHUDEI,592269,PHC,Khudei,29:13.2,Medical ,Primary Health Centre,26.25500413,94.76382893
Nagaland,Tuensang,Sangsangnyu,KHUDEI,592269,GHS,Khudei,18:04.2,Education ,High School - General,26.25579463,94.76367222
Nagaland,Tuensang,Sangsangnyu,KHUDEI,592269,Khudei vill council,Khudei,20:43.4,Transport/Admin,Panchayat Headquarter,26.25805838,94.76451008
Nagaland,Dimapur,Medziphema,Kukidolong,593690,mandi,Khukidolong,51:58.8,Agro ,Mandi (Notified),25.76739833,93.82181167
Nagaland,Dimapur,Medziphema,Kukidolong,593690,IOC,Khukidolong,51:05.4,Transport/Admin,Fuel Station,25.76155667,93.83288
Nagaland,Dimapur,Medziphema,Kukidolong,593690,bus stand,Kukidolong,53:12.6,Transport/Admin,Bus Stand,25.76740167,93.82179
Nagaland,Dimapur,Medziphema,Kukidolong,593690,Khukidolong vill council,Khukidolong,53:38.4,Transport/Admin,Panchayat Headquarter,25.76804167,93.820545
Nagaland,Peren,Jalukie,Bongkolong,174810,Bongkonglong vill council,Bongklong ,02:46.5,Transport/Admin,Panchayat Headquarter,25.53665,93.52850588
Nagaland,Peren,Jalukie,Bongkolong,174810,Govt high school,Bongkolong,02:21.9,Education ,High School - General,25.53732342,93.52565474
Nagaland,Zunheboto,Tokiye,khekiye,554352,Khekiye vill council,Khekiye ,30:25.9,Transport/Admin,Panchayat Headquarter,25.90043833,94.55209833
Nagaland,Zunheboto,Tokiye,khekiye,554352,Bus stand,Khekiye,35:58.3,Transport/Admin,Bus Stand,25.90064333,94.55205
Nagaland,Wokha,Sanis,Longtsung,631279,GHS Longtsung,Longtsung,08:45.6,Education ,High School - General,26.10902167,94.12196667
Nagaland,Wokha,Sanis,Longtsung,631279,Village Council,Longtsung Village,47:12.2,Transport/Admin,Panchayat Headquarter,26.11220333,94.12091333
Nagaland,Wokha,Sanis,Longtsung,631279,GHS Longtsung,Longtsung,44:52.0,Education ,High School - General,26.10902167,94.12196667
Nagaland,Wokha,Sanis,Akuk Old,22853,GHS Akuk,Akuk,42:04.6,Education ,High School - General,26.25696,94.24474333
Nagaland,Phek,Pfutsero,Pfutseromi,848532,warehouse.1,pfutseromi,49:09.9,Agro ,Warehouse,25.56213718,94.28465444
Nagaland,Phek,Pfutsero,Pfutseromi,848532,Pfutsero College,Pfutsero,32:30.3,Education ,Degree College,25.57025998,94.30048171
Nagaland,Phek,Pfutsero,Pfutseromi,848532,bus stand.1,pfutseromi,50:13.4,Transport/Admin,Bus Stand,25.56842999,94.28787472
Nagaland,Phek,Pfutsero,Pfutseromi,848532,Cooperative Bank,Pfutsero,32:47.6,Transport/Admin,Bank,25.57025998,94.30048171
Nagaland,Phek,Pfutsero,Pfutseromi,848532,TMT higher secondary school,Pfutsero,31:31.3,Education ,High School - General,25.57025998,94.30048171
Nagaland,Phek,Pfutsero,Pfutseromi,848532,Mandi1,Pfutsero,33:35.4,Agro ,Mandi (Notified),25.57025998,94.30048171
Nagaland,Phek,Pfutsero,Pfutseromi,848532,bus stand,pfutseromi,49:32.4,Transport/Admin,Bus Stand,25.56199525,94.28462901
Nagaland,Phek,Pfutsero,Pfutseromi,848532,CHC,Pfutsero,30:07.4,Medical ,Community Health Centre,25.5757392,94.2969735
Nagaland,Phek,Pfutsero,Pfutseromi,848532,Mandi,Pfutseromi,31:46.7,Agro ,Mandi (Notified),25.5575841,94.29082784
Nagaland,Phek,Pfutsero,Pfutseromi,848532,NST Pfutsero,Pfutsero,33:12.0,Transport/Admin,Bus Stand,25.57025998,94.30048171
Nagaland,Phek,Pfutsero,Pfutseromi,848532,mandi.1,pfutseromi,48:06.7,Agro ,Mandi (Notified),25.5657259,94.2857471
Nagaland,Phek,Pfutsero,Pfutseromi,848532,pack house,pfutseromi,49:45.4,Agro ,Collection Centre or Pack House,25.55996019,94.28505177
Nagaland,Phek,Pfutsero,Pfutseromi,848532,mushroom project,pfutseromi,48:21.1,Agro ,Agro Industry,25.56775107,94.28839322
Nagaland,Phek,Pfutsero,Pfutseromi,848532,Nazareth School,Pfutsero,30:23.3,Education ,Higher Secondary School,25.57025998,94.30048171
Nagaland,Phek,Pfutsero,Pfutseromi,848532,UCS high School,Pfutsero,31:07.6,Education ,High School - General,25.57025998,94.30048171
Nagaland,Phek,Pfutsero,Pfutseromi,848532,SBI pfutsero,Pfutsero,33:49.8,Transport/Admin,Bank,25.57025998,94.30048171
Nagaland,Phek,Pfutsero,Pfutseromi,848532,District Institute for Education and Training,Pfutsero,34:33.4,Education ,Degree College,25.57025998,94.30048171
Nagaland,Phek,Pfutsero,Pfutseromi,848532,Baptist high School,Pfutsero,30:48.1,Education ,High School - General,25.57025998,94.30048171
Nagaland,Phek,Pfutsero,Pfutseromi,848532,collection house,pfutseromi,48:43.4,Agro ,Collection Centre or Pack House,25.56221482,94.28533254
Nagaland,Phek,Pfutsero,Pfutseromi,848532,bio gasifier,pfutseromi,49:22.5,Agro ,Agro Industry,25.56190085,94.28433481
Nagaland,Phek,Pfutsero,Pfutseromi,848532,GHHS,Pfutsero,32:12.2,Education ,Higher Secondary School,25.57025998,94.30048171
Nagaland,Phek,Pfutsero,Pfutseromi,848532,chakhesang Mission higher secondary School,Pfutsero,34:06.2,Education ,Higher Secondary School,25.57025998,94.30048171
Nagaland,Phek,Pfutsero,Pfutseromi,848532,Village Council,Pfutseromi,27:44.8,Transport/Admin,Panchayat Headquarter,25.56013627,94.28481771
Nagaland,Phek,Pfutsero,Pfutseromi,848532,warehouse,pfutseromi,48:34.4,Agro ,Warehouse,25.56782337,94.28824333
Nagaland,Mon,Chen,Chaoha Chinggyu,205641,mandi,Chaoha chingnyu,45:38.4,Agro ,Agro Industry,26.5536489,94.99829712
Nagaland,Mon,Chen,Chaoha Chinggyu,205641,Chaoha chingnyu vill council,Chaoha chingnyu,46:39.3,Transport/Admin,Panchayat Headquarter,26.55364217,94.99830944
Nagaland,Mon,Chen,Chaoha Chinggyu,205641,bus stand,Chaoha chingnyu,43:54.6,Transport/Admin,Bus Stand,26.55236428,94.99761524
