State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Panchayat office,Ariyankuppam,52:42.5,Transport/Admin,Panchayat Headquarter,11.89496,79.80177833
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Indian oil,Nonankuppam,05:18.1,Transport/Admin,Fuel Station,11.88581667,79.80059333
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Motherland English high school,Ariyankuppam,56:55.6,Education ,High School - General,11.89564333,79.80129833
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Govt. High school,Ariyankuppam,30:15.9,Education ,High School - General,11.895525,79.804705
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Govt. Higher secondary school,Nonankuppam,58:59.8,Education ,Higher Secondary School,11.88492,79.79539667
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Govt.Higher secondary school,Nonankuppam,07:10.5,Education ,Higher Secondary School,11.886225,79.800575
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Govt. Primary school,Arunthathipuram,54:32.6,Education ,High School - General,11.89895,79.79833
Pondicherry,Puducherry,Ariankuppam,Ariankuppam West,1388227,Health sub centre,Nonankuppam,00:40.5,Medical ,Primary Health Centre,11.88521,79.79884167
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,Sai krish agency,Embalam,43:13.0,Transport/Admin,Fuel Station,11.86633167,79.71722
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,SS agency,Embalam,42:32.3,Transport/Admin,Fuel Station,11.86652,79.71902167
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,Govt primary school,Embalam,33:47.6,Education ,High School - General,11.87285667,79.71358167
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,PLF office,Embalam,30:56.6,Transport/Admin,Panchayat Headquarter,11.86658833,79.71294333
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,milk collection centre,Embalam,35:11.8,Agro ,Collection Centre or Pack House,11.87292667,79.71354833
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,Grama panchayat office,Embalam,32:57.7,Transport/Admin,Panchayat Headquarter,11.86668167,79.71267333
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,IOB bank,Embalam,32:06.4,Transport/Admin,Bank,11.86659167,79.71271
Pondicherry,Puducherry,Ariankuppam,Embalam,1388296,maraimalaiadigal Govt.HR.SEC school,Embalam,18:43.8,Education ,Higher Secondary School,11.86677,79.71292667
Pondicherry,Puducherry,Villianur,Kothapurinatham,1388359,HP petrol bunk,kothapurinatham,36:40.7,Transport/Admin,Fuel Station,11.92783166,79.66274016
Pondicherry,Puducherry,Villianur,Kothapurinatham,1388359,Government High School,kothapurinatham,35:46.5,Education ,High School - General,11.93537429,79.66842097
Pondicherry,Puducherry,Villianur,Sellipet,1388410,Indian oil petrol bunk,Sellipet,26:53.3,Transport/Admin,Fuel Station,11.95190617,79.69952293
Pondicherry,Puducherry,Villianur,Sellipet,1388410,Government High School,Sellipet,29:17.2,Education ,High School - General,11.95707549,79.69607876
Pondicherry,Puducherry,Villianur,Sellipet,1388410,Puduvai Bharathiyar Grama Bank,Sellipet,25:52.8,Transport/Admin,Bank,11.95462786,79.69262134
Pondicherry,Puducherry,Villianur,Sellipet,1388410,veternary hospital,sallipet,28:03.5,Medical ,Veterinary Hospital,11.95654291,79.69748668
Pondicherry,Karaikal,karaikal,Vadakattalai,1388764,Sub center (Nedungadu  Vadakattalai),vadakattalai  ponpethy,02:49.9,Medical ,Primary Health Centre,10.99092115,79.77615692
Pondicherry,Puducherry,Ariankuppam,Karaiyamputhr,1388246,SS Agency HP Fuel station,Karaiyamputhur,32:44.1,Transport/Admin,Fuel Station,11.82062333,79.64957667
Pondicherry,Puducherry,Ariankuppam,Karaiyamputhr,1388246,Primary health centre,karaiyamputhur,44:17.6,Medical ,Primary Health Centre,11.82295667,79.64726333
Pondicherry,Puducherry,Ariankuppam,Karaiyamputhr,1388246,Govt higher secantary school,karaiyamputhu,40:10.5,Education ,Higher Secondary School,11.82107833,79.65027
Pondicherry,Puducherry,Ariankuppam,Karaiyamputhr,1388246,Govt higher secondary school,karaiyamputhu,43:28.8,Education ,Higher Secondary School,11.82107833,79.65027
