State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Punjab,Gurdaspur,Kahnuwan,Dere Bhurrian Sainian,261339,panchyat hq,derebhuriansainian ,59:25.6,Transport/Admin,Panchayat Headquarter,31.93461478,75.49483279
Punjab,Gurdaspur,Kahnuwan,Dere Thakkarwal,261390,Panchayat hq,dere thakkarwal,49:51.5,Transport/Admin,Panchayat Headquarter,31.7980659,75.46913087
Punjab,Faridkot,Kotkapura,Devi Wala,264429,Oriental Bank of Commerce,Deviwala,51:01.7,Transport/Admin,Bank,30.62434971,74.87295382
Punjab,Faridkot,Kotkapura,Devi Wala,264429,Degree college,Deviwala,15:17.1,Education ,Degree College,30.60167828,74.86198288
Punjab,Faridkot,Kotkapura,Devi Wala,264429,Primary Health Center,Deviwala,50:18.1,Medical ,Primary Health Centre,30.61860321,74.8712989
Punjab,Faridkot,Kotkapura,Devi Wala,264429,Society,Deviwala,13:18.5,Agro ,GRaM (Notified),30.62365951,74.87378543
Punjab,Faridkot,Kotkapura,Devi Wala,264429,Govt High school,Deviwala,50:39.7,Education ,High School - General,30.61860321,74.8712989
Punjab,Faridkot,Kotkapura,Devi Wala,264429,Sub center,deviwala,13:47.9,Medical ,Primary Health Centre,30.62148574,74.87375035
Punjab,Faridkot,Kotkapura,Devi Wala,264429,Godown,Deviwala,49:45.5,Agro ,Agro Industry,30.61862008,74.87180793
Punjab,Firozpur,Guruharsahai,Dhani Sher Chand,285940,panchayat ghar,link road,29:12.6,Transport/Admin,Panchayat Headquarter,30.68065166,74.32997167
Punjab,Ludhiana,Ludhiana II,Dheri,293963,panchayat ghar village dheri,village dheri,23:05.0,Transport/Admin,Panchayat Headquarter,30.97423017,75.88779867
Punjab,Sangrur,Lehragaga,Dhindsa,294381,purchase centre,dhindsa,31:16.9,Agro ,Mandi (Notified),29.9092129,75.91236951
Punjab,Nawashahar,Balachaur,BANNA,93998,shreyans industries Ltd ,bana ,54:27.8,Agro ,Agro Industry,31.00873,76.436675
Punjab,Nawashahar,Balachaur,BANNA,93998,post office,banna,53:53.0,Transport/Admin,Bank,31.01614833,76.43999833
Punjab,Nawashahar,Balachaur,BANNA,93998,info bank,banna,54:13.8,Transport/Admin,Bank,31.00870667,76.43663333
Punjab,Nawashahar,Balachaur,BANNA,93998,RNBGM high school,banna,53:41.5,Education ,High School - General,31.00552,76.43386
Punjab,Ropar,Anandpur Sahib,Barampur  Lower,99295,panchayat headquarter,barampur lower,20:49.1,Transport/Admin,Panchayat Headquarter,31.33166498,76.39761809
Punjab,Ropar,Anandpur Sahib,Barampur  Lower,99295,Senior secondary school,barampur lower,29:21.9,Education ,Higher Secondary School,31.32919109,76.39538265
Punjab,Hoshiarpur,Mahilpur,Barian Kalan,104193,warehouse,Barian kalan village,24:21.2,Agro ,Warehouse,31.38399616,75.99534089
Punjab,Hoshiarpur,Mahilpur,Barian Kalan,104193,Mandi,Barian kalan village,18:57.6,Agro ,Mandi (Notified),31.38360621,75.99546363
Punjab,Hoshiarpur,Mahilpur,Barian Kalan,104193,focal point,Barian kalan,12:01.1,Agro ,Agro Industry,31.38357157,75.99553005
Punjab,Hoshiarpur,Mahilpur,Barian Kalan,104193,veterinary hospital,"barian Kalan village
",30:53.7,Medical ,Veterinary Hospital,31.38414088,75.99510515
Punjab,Hoshiarpur,Mahilpur,Barian Kalan,104193,Primary health center,Barian kalan,59:11.6,Medical ,Primary Health Centre,31.38604859,76.00164887
Punjab,Hoshiarpur,Mahilpur,Barian Kalan,104193,sr sec school,Barian Kalan village,36:18.7,Education ,Higher Secondary School,31.38175382,75.99739898
Punjab,Jalandhar,Lohian,Dhada Dilkhanpur,267239,panchayat headqutar,dhada dikhanpur,49:05.2,Transport/Admin,Panchayat Headquarter,31.16261218,75.34662057
Punjab,Sangrur,Sunam,Dhaliwalbas,268675,gram Panchayat sabha,Dhaliwalwas,25:12.5,Transport/Admin,Panchayat Headquarter,30.06375042,75.72624214
Punjab,Sangrur,Sunam,Dhaliwalbas,268675,veternary hospital,Dhaliwalws,36:58.9,Medical ,Veterinary Hospital,30.06642162,75.72931034
Punjab,Sangrur,Sunam,Dhaliwalbas,268675,Mandi,Dhaliwalws,34:02.6,Agro ,Mandi (Notified),30.06586257,75.72950514
Punjab,Sangrur,Sunam,Dhaliwalbas,268675,meni phc,Dhaliwalws,31:23.5,Medical ,Community Health Centre,30.06474843,75.72925678
Punjab,Ropar,Nurpur Bedi,Dhamana,268876,school,village Dhamana,31:33.0,Education ,High School - General,31.09817667,76.50999667
Punjab,Ropar,Nurpur Bedi,Dhamana,268876,Panchayat ghar,Village Dhamana,20:13.3,Transport/Admin,Panchayat Headquarter,31.093895,76.51394
Punjab,Ropar,Nurpur Bedi,Dhamana,268876,vetenary hospital,village Dhamana,18:17.6,Medical ,Veterinary Hospital,31.09369833,76.513965
Punjab,Ropar,Nurpur Bedi,Dhamana,268876,primary health centre,village Dhamana,26:49.6,Medical ,Primary Health Centre,31.09360833,76.51391167
Punjab,Jalandhar,Adampur,Dhandor,270847,Panchayat,Village Dhandor,14:08.5,Transport/Admin,Panchayat Headquarter,31.37181333,75.73189333
