State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Sikkim,South,Ravongla,Subuk,1012490,bus stand,subuk,26:42.8,Transport/Admin,Bus Stand,27.23180126,88.3067305
Sikkim,East,Pakyong,Nupgaon,1113364,state bank of india,NupGaon Pakyong E Sikkim,53:27.8,Transport/Admin,Bank,27.24343,88.59930833
Sikkim,West Sikkim,Gyalshing,U thingling i,1113585,Village Administraion Center,Khechuperi Thingling,19:34.6,Transport/Admin,Panchayat Headquarter,27.34137045,88.20221927
Sikkim,West Sikkim,Gyalshing,U thingling i,1113585,Govt. SR SEC SCHOOL Khechuperi,upper Thingling,18:40.2,Education ,Higher Secondary School,27.34079626,88.20860529
Sikkim,West Sikkim,Gyalshing,U thingling i,1113585,Milk Collection Center,Upper Thingling,18:54.7,Agro ,Collection Centre or Pack House,27.34076454,88.2089834
Sikkim,East,Gangtok,TADONG BAZAAR.,1113783,Shri Ramasamy memorial University Sikkim science block,Tadong bazar Gangtok,20:44.2,Education ,Degree College,27.333031,88.6146301
Sikkim,East,Gangtok,TADONG BAZAAR.,1113783,government sr sec school Tadong,Tadong bazar Gangtok,20:25.8,Education ,Higher Secondary School,27.333031,88.6146301
Sikkim,West Sikkim,Soreng,Timberbong Sarangtar ,1113834,Village Administrative Centre Timberbong,Timburbung Sarangtar,13:07.7,Transport/Admin,Panchayat Headquarter,27.15949396,88.18555138
Sikkim,West Sikkim,Soreng,Timberbong Sarangtar ,1113834,Milk Producer Co Operative Society Ltd.,Timberbong,31:49.3,Agro ,Collection Centre or Pack House,27.15889936,88.18137822
Sikkim,East,Rongli,Adhikari Gaon Rungdong,1114034,Government College Rhenock,Rhenock,40:47.4,Education ,Degree College,27.18372333,88.63561333
Sikkim,East,Rongli,Adhikari Gaon Rungdong,1114034,Gram Prashasan Kendra,Rhenock,39:02.1,Transport/Admin,Panchayat Headquarter,27.17836667,88.64383833
Sikkim,East,Rongli,Adhikari Gaon Rungdong,1114034,office of horticulture inspector,Rhenock,11:42.0,Agro ,Collection Centre or Pack House,27.18240333,88.64183833
Sikkim,East,Rongli,Adhikari Gaon Rungdong,1114034,HP Gas,Adhikari gaon Rungdung,47:18.1,Transport/Admin,Fuel Station,27.18178791,88.64131948
Sikkim,East,Rongli,Adhikari Gaon Rungdong,1114034,veterinary hospital,Rhenock,43:19.2,Medical ,Veterinary Hospital,27.18090833,88.639985
Sikkim,South,Namchi,U Phong,1114134,"Govt.Secondary School, Phong",Upper Phong,26:55.8,Education ,High School - General,27.173955,88.45177833
Sikkim,East,Rongli,Khasey Lakha,1114183,"Milk Collection centre Arubotay, Thokar",Rolep Khesaylakha,25:39.8,Agro ,Collection Centre or Pack House,27.25502098,88.71850188
Sikkim,East,Rongli,Khasey Lakha,1114183,Sedrup Lekshaling Gonpa,"arubotay, kewni",16:51.0,Education ,Higher Secondary School,27.25543589,88.71834167
Sikkim,East,Gangtok,Deorali,1182656,Sikkim national oil distributors,deorali Gangtok,16:45.0,Transport/Admin,Fuel Station,27.333031,88.6146301
Sikkim,East,Gangtok,Deorali,1182656,Government girls sr sec school,deorali,15:42.5,Education ,Higher Secondary School,27.333031,88.6146301
Sikkim,East,Gangtok,Deorali,1182656,jeep cum bus stand,deorali Gangtok,17:09.6,Transport/Admin,Bus Stand,27.333031,88.6146301
Sikkim,East,Gangtok,Deorali,1182656,state trading corporation of Sikkim,deorali,16:25.6,Transport/Admin,Block Headquarter,27.333031,88.6146301
Sikkim,East,Gangtok,Deorali,1182656,science and technology department vigyan bhawan,deorali Gangtok,17:33.0,Transport/Admin,Block Headquarter,27.333031,88.6146301
Sikkim,East,Gangtok,Deorali,1182656,forest secretariat,deorali,16:03.8,Transport/Admin,Block Headquarter,27.333031,88.6146301
Sikkim,South,Ravongla,Mengli,698468,Government High School,"Mengli, Sripatam",49:12.1,Education ,High School - General,27.27301,88.43072
