State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Tripura,North Tripura,Damcherra,Kalai Malsum Para,572848,Tripura Gramin Bank Khedacherra Branch,Near Khedacherra Bazar,08:36.0,Transport/Admin,Bank,24.09702657,92.32404508
Tripura,South Tripura,Satchand,Madhya Doulbari,641068,Doulbari gram panchayat,Madhya Doulbari,16:39.9,Transport/Admin,Panchayat Headquarter,22.99221667,91.71764333
Tripura,South Tripura,Rajnagar,Pal para,736494,South Radhanagar Panchayet,Radhanagar,57:14.5,Transport/Admin,Panchayat Headquarter,23.22497838,91.32995267
Tripura,South Tripura,Satchand,Ramendra Nagar Uttar Para,736496,lndira nagar gram panchayat,ramendranagar office tilla,02:24.0,Transport/Admin,Panchayat Headquarter,22.991915,91.65461833
Tripura,Dhalai,Ambassa,Nabagram,738859,Tripura Gramin Bank Kulai Branch,"Kulai, East Nalicherra",23:14.7,Transport/Admin,Bank,23.94432777,91.83271447
Tripura,West Tripura,Jirania,Nabin Thakur Para,739059,TRIPURA PUBLIC ENG MED SCHOOL,Near Kalabagan Market Champaknagar Tripura,58:29.9,Education ,High School - General,23.81056,91.469875
Tripura,South Tripura,Rajnagar,Uttar Nasirnagar,739368,Uttar Nasirnagar Bazar,Nasirnagar,33:25.2,Agro ,Mandi (Notified),23.21649083,91.37850876
Tripura,West Tripura,Jirania,Nanda Kumar Para,756016,Barjala Binapani Gram Panchayat,Nanda Kumar Para,25:05.0,Transport/Admin,Panchayat Headquarter,23.825495,91.42321667
Tripura,Dhalai,Dumburnagar,Naresh Biswas Para,762132,Narayanpur Market,Narayanpur Dumburnagar Dhalai Tripura,14:56.1,Agro ,Mandi (Notified),23.59579592,91.82359254
Tripura,South Tripura,Hrishyamukh,Malum bari,664925,Solar Street light,"Dhananjoy Nagar, Hrishyamukh, Belonia, South Tripura",33:02.4,Agro ,Is Part of Rurban Cluster?,23.15299333,91.555565
Tripura,West Tripura,Mandai,MANDAI UPANAGARI,667867,Mandwi Bus Stop and Passenger sche,Mandwi West Tripura,38:57.3,Transport/Admin,Bus Stand,23.85724671,91.4793987
Tripura,West Tripura,Mandai,MANDAI UPANAGARI,667867,Mandwi Upanagari Bus Stand,"Gourmani Stadium, Mandwi ",37:27.3,Transport/Admin,Bus Stand,23.85398745,91.47625582
Tripura,West Tripura,Mandai,MANDAI UPANAGARI,667867,Agriculture Seed Godown Mandai,Mandwi West Tripura,36:55.3,Agro ,Warehouse,23.85460142,91.47499671
Tripura,West Tripura,Mandai,MANDAI UPANAGARI,667867,bus stand,mandwi ,10:09.5,Transport/Admin,Bus Stand,23.85810984,91.4794355
Tripura,West Tripura,Mandai,MANDAI UPANAGARI,667867,High School ,"MANDWI GIRL'S HIGH SCHOOL 
",07:31.6,Education ,High School - Girls,23.85892967,91.48140416
Tripura,West Tripura,Mandai,MANDAI UPANAGARI,667867,Tripura  Gramin Bank,Mandwi,43:46.3,Transport/Admin,Bank,23.86020041,91.47913618
Tripura,West Tripura,Mandai,MANDAI UPANAGARI,667867,Mandwi Nagar village Committee Office,Mandwi West Tripura,00:49.9,Transport/Admin,Panchayat Headquarter,23.85969456,91.47948495
Tripura,West Tripura,Mandai,MANDAI UPANAGARI,667867,RASHIRAM ACADEMY HIGH,Mandwi Rd Mandwi Tripura ,44:10.4,Education ,High School - General,23.8551561,91.47640259
Tripura,North Tripura,Panisagar,Manipuri Basti,674192,Jalabassa Bazaar GRAM,Jalabassa Panisagar North Tripura,12:23.2,Agro ,GRaM (Notified),24.2595106,92.17940693
Tripura,West Tripura,Dukli,AMTALI SCHOOL PARA AMTALI ASRAM PARA,590889,Ballabpur Gram Panchayat HQ,Amtali Dukli West Tripura,55:32.2,Transport/Admin,Panchayat Headquarter,23.77233705,91.2643675
Tripura,South Tripura,Satchand,Chowkidar para,234711,Kalachara PHC,Bhuratali Tripura,51:28.3,Medical ,Primary Health Centre,23.13085036,91.62312125
Tripura,North Tripura,Dasda,Dangaachara,248217,Kanchanpur Govt Degree College,Satnala Tripura,53:48.1,Education ,Degree College,24.01316503,92.2008697
Tripura,West Tripura,Hezamara,Kulendra Para,727038,Kambuck Charra ADC Village office,Kambuck charra Hezamara West Tripura,22:01.5,Transport/Admin,Panchayat Headquarter,23.98712923,91.45843637
Tripura,West Tripura,Hezamara,Muralangta Para,727438,Hezamara PHC,Baikunthapur GP Hezamra West Tripura,55:24.5,Medical ,Primary Health Centre,24.00323643,91.44081284
Tripura,West Tripura,Dukli,PALER KHAMAR,408587,Bikramnagar Gram Panchayat  HQ,Bikramnagar GP Darogabari Dukli West Tripura,59:18.7,Transport/Admin,Panchayat Headquarter,23.72888388,91.26667972
Tripura,South Tripura,Rupaichari,Punichand Para,506623,Purba Ludhua Bazar,"Ludhua, Rupaichari RD Block",09:36.8,Agro ,Mandi (Notified),23.04729672,91.73128723
