State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Ladakh,Leh,Durbugh,Shachukul,1393016,Panchayat Headquarter,Shachukul,03:37.5,Transport/Admin,Panchayat Headquarter,33.99048699,78.10801577
Ladakh,Leh,Durbugh,Shachukul,1393016,J&K Bank,Shachukul,02:45.8,Transport/Admin,Bank,33.99059918,78.10797804
Ladakh,Leh,Durbugh,Shachukul,1393016,Ration store,Shachukul,02:00.9,Agro ,Warehouse,33.9917126,78.10449368
Ladakh,Leh,Kharu,Meroo,1393084,pack house,meroo,58:54.8,Agro ,Collection Centre or Pack House,33.73890836,77.7564687
Ladakh,Leh,Kharu,Meroo,1393084,bus stand,meroo,59:22.2,Transport/Admin,Bus Stand,33.73878892,77.7564653
Ladakh,Leh,Kharu,Meroo,1393084,ration store,meroo,19:49.8,Agro ,Warehouse,33.73896269,77.75598304
Ladakh,Leh,Nyoma,Nyoma,1393199,higher secondary school,nyoma,45:06.5,Education ,Higher Secondary School,33.2015452,78.6413812
Ladakh,Leh,Nyoma,Nyoma,1393199,Pack house,Nyoma,45:53.2,Agro ,Collection Centre or Pack House,33.2050506,78.6493509
Ladakh,Leh,Nyoma,Nyoma,1393199,Veterinary,Nyoma,45:46.2,Medical ,Veterinary Hospital,33.2050506,78.6493509
Ladakh,Leh,Nyoma,Nyoma,1393199,Panchayat halqa,Nyoma,45:39.1,Transport/Admin,Panchayat Headquarter,33.2050414,78.6511305
Ladakh,Leh,Nyoma,Nyoma,1393199,Bus stand,Nyoma,46:00.2,Transport/Admin,Bus Stand,33.2050506,78.6493509
Ladakh,Leh,Nyoma,Nyoma,1393199,Bank,Nyoma,45:15.8,Transport/Admin,Bank,33.20154,78.6413742
Ladakh,Leh,Nyoma,Nyoma,1393199,PHC,Nyoma,45:24.1,Medical ,Primary Health Centre,33.2015454,78.641371
Ladakh,Leh,Nyoma,Nyoma,1393199,Ration store,Nyoma,45:32.2,Agro ,Warehouse,33.2020369,78.642971
Ladakh,Kargil,Drass,Ulbearas,1393233,Potato Farm,Ulbearas,03:02.8,Agro ,Agro Industry,34.41141826,75.69992853
Ladakh,Kargil,Sankoo,Thasgam,1393301,Sale centre,Thasgam,59:17.8,Agro ,Collection Centre or Pack House,34.55383014,76.13646706
Ladakh,Kargil,Sankoo,Thasgam,1393301,Service coorperative society,thasgam,59:02.9,Transport/Admin,Bank,34.27890719,75.9797121
Ladakh,Kargil,Sankoo,Thasgam,1393301,Govt high school,thasgam,57:41.1,Education ,High School - General,34.27788405,75.97956624
Ladakh,Kargil,Shakar Chiktan,Shakar Doo,1393348,HALQA PANCHAYAT,Shakardoo,28:32.6,Transport/Admin,Panchayat Headquarter,34.51122074,76.49435077
Ladakh,Kargil,Shargole,Shargole,1393382,Warehouse,Shargole,52:06.6,Agro ,Warehouse,34.396375,76.30089333
Ladakh,Kargil,Shargole,Shargole,1393382,PANCHAYAT HEADQUARTER,Shargole,18:44.7,Transport/Admin,Panchayat Headquarter,34.39354163,76.31308336
Ladakh,Kargil,Shargole,Shargole,1393382,State bank of india,shargole,50:02.9,Transport/Admin,Bank,34.395671,76.30059985
Ladakh,Kargil,Shargole,Shargole,1393382,SALE CENTRE,Shargole,19:01.8,Agro ,Warehouse,34.40356036,76.29580649
Ladakh,Kargil,Shargole,Shargole,1393382,Block Veterinary Office,Shargol,41:52.4,Medical ,Veterinary Hospital,34.39419167,76.31182167
Ladakh,Kargil,Shargole,Shargole,1393382,higher secondary school,shargole,57:47.0,Education ,Higher Secondary School,34.39569346,76.30936414
Ladakh,Leh,Durbugh,Kherapullu,1393003,Ration store,Kherapullu,04:33.3,Agro ,Warehouse,33.83609801,78.33217849
Ladakh,Leh,Khalsti,Chipkyangchan,1393037,bus stand,chipkyangchan,50:48.0,Transport/Admin,Bus Stand,34.304345,76.66234167
Ladakh,Leh,Kharu,Changa,1393071,bus stand,changa,45:45.8,Transport/Admin,Bus Stand,33.92840114,77.72146916
Ladakh,Leh,Kharu,Changa,1393071,ration store,changa,46:36.2,Agro ,Warehouse,33.93045278,77.72122572
Ladakh,Leh,Kharu,Changa,1393071,pack house,changa,37:21.3,Agro ,Collection Centre or Pack House,33.92839648,77.72145834
Ladakh,Leh,Leh,Phayang ,1393110,Life stock development centre,pheyang,37:25.9,Medical ,Veterinary Hospital,34.190945,77.48833167
Ladakh,Leh,Leh,Phayang ,1393110,J&K BANK,pheyang,29:21.0,Transport/Admin,Bank,34.19076667,77.487755
Ladakh,Leh,Leh,Phayang ,1393110,govt. high school phyang,phyang,08:53.3,Education ,High School - General,34.18889667,77.488345
Ladakh,Leh,Leh,Phayang ,1393110,panchayat ghar,pheyang,39:29.0,Transport/Admin,Panchayat Headquarter,34.19073833,77.48777667
Ladakh,Leh,Leh,Phayang ,1393110,bus stand,pheyang,34:33.2,Transport/Admin,Bus Stand,34.18900833,77.48857833
Ladakh,Leh,Leh,Phayang ,1393110,warehouse,pheyang,35:28.3,Agro ,Warehouse,34.19052167,77.48841167
Ladakh,Leh,Nyoma,Anlay,1393178,Bankk,Anlay,46:08.2,Transport/Admin,Bank,33.2050506,78.6493509
Ladakh,Leh,Nyoma,Anlay,1393178,Ration store,Anlay,46:45.1,Agro ,Warehouse,33.2050506,78.6493509
Ladakh,Leh,Nyoma,Anlay,1393178,Bus stand,Anlay,46:25.4,Transport/Admin,Bus Stand,33.2050506,78.6493509
Ladakh,Leh,Nyoma,Anlay,1393178,Pack house,Anlay,46:34.8,Agro ,Collection Centre or Pack House,33.2050506,78.6493509
Ladakh,Leh,Nyoma,Anlay,1393178,School,Anlay,46:15.5,Education ,High School - General,33.2050506,78.6493509
Ladakh,Leh,Nyoma,Anlay,1393178,PHC,Tarchit,18:42.4,Medical ,Primary Health Centre,33.68122257,77.9874533
Ladakh,Kargil,Shargole,Mulbekh,1393369,BUS STOP,Mulbekh,15:06.5,Transport/Admin,Bus Stand,34.37780084,76.37605683
Ladakh,Kargil,Shargole,Mulbekh,1393369,High school,mulbekh,01:02.5,Education ,High School - General,34.37931397,76.35598925
Ladakh,Kargil,Shargole,Mulbekh,1393369,PHC,mulbekh,04:24.6,Medical ,Primary Health Centre,34.37900852,76.36342111
Ladakh,Kargil,Shargole,Mulbekh,1393369,PANCHAYAT Headquaters,mulbek,06:19.0,Transport/Admin,Panchayat Headquarter,34.3817189,76.3753814
Ladakh,Kargil,Shargole,Mulbekh,1393369,Sale Centre,Mulbekh,15:49.6,Agro ,Collection Centre or Pack House,34.37910622,76.37244618
Ladakh,Kargil,Shargole,Mulbekh,1393369,BUS STAND,Mulbekh,15:35.4,Transport/Admin,Bus Stand,34.37918636,76.36941396
Ladakh,Kargil,Shargole,Mulbekh,1393369,spring dales public high school,mulbek,08:49.8,Education ,High School - General,34.38082302,76.37388563
Ladakh,Kargil,Shargole,Mulbekh,1393369,J& K bank,mulbekh,50:56.4,Transport/Admin,Bank,34.3812723,76.35478287
Ladakh,Kargil,Shargole,Mulbekh,1393369,veterinary hospital,mulbekh,04:00.2,Medical ,Veterinary Hospital,34.38122751,76.35944759
Ladakh,Leh,Durbugh,Chilam,1393013,Ration Store,Chilam,08:25.8,Agro ,Warehouse,33.98535239,78.17237599
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Punjab National Bank (kargil),Kargil,25:31.7,Transport/Admin,Bank,34.55646333,76.12687167
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Poineer public high school kargil,kargil,16:34.7,Education ,High School - General,34.558815,76.128095
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,ICICI Bank kargil,kargil,39:44.0,Transport/Admin,Bank,34.55895333,76.126215
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,State cooperative bank,Kargil,31:13.8,Transport/Admin,Bank,34.55868333,76.12642333
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,J& k Grameen bank,Kargil,33:15.3,Transport/Admin,Bank,34.56063,76.12589833
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Suru valley public HR.Sec. school,Kargil,15:09.4,Education ,Higher Secondary School,34.559385,76.12805833
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Higher secondary school girls,kargil,00:39.1,Education ,High School - Girls,34.56035667,76.12372333
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Muthhary public high school kargil,kargil,17:42.9,Education ,High School - General,34.554045,76.14194333
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,sale centre (Bazar B1st ),Kargil ladakh,45:28.1,Agro ,Warehouse,34.558,76.12669
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,ITI Kargil,kargil,25:32.0,Education ,ITI,34.55733333,76.1314
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Petrol pump,Kargil,27:12.7,Transport/Admin,Fuel Station,34.541365,76.15061333
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Axis bank,Kargil,29:14.9,Transport/Admin,Bank,34.55181333,76.12844
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,J & K Bank  lal chowk kargil,Kargil lal chowk,35:52.2,Transport/Admin,Bank,34.56014,76.126135
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Kargil public secondary school Kargil,Honakey poyen kargil,14:01.8,Education ,High School - General,34.559865,76.13296167
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Jk Northern public school kargil,kargil,22:51.9,Education ,High School - General,34.556575,76.14003167
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,Degree College kargil,Kargil,24:25.7,Education ,Degree College,34.55623,76.13104333
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,J&K Bank (kargil),Kargil,26:31.5,Transport/Admin,Bank,34.55721333,76.126625
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,(jaffaria Academy modern)Higher  Secondary school kargil,kargil,18:49.8,Education ,Higher Secondary School,34.53292,76.15193333
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,District Hospital kargil,Kargil,21:43.6,Medical ,Bedded Hospital,34.560085,76.12509333
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,"Bus stand ,Mini Truck & Tata Mobile",Kargil,25:45.5,Transport/Admin,Bus Stand,34.55178833,76.12841833
Ladakh,Kargil,Kargil,Kargil Town NAC,1393270,HDFC bank,Baghi khomeni kargil,37:22.1,Transport/Admin,Bank,34.55903333,76.12638333
Ladakh,Kargil,Sankoo,Yakza,1393327,collection centre,yakza sankoo,54:56.0,Agro ,Collection Centre or Pack House,34.32508644,75.87098725
Ladakh,Kargil,Sankoo,Yakza,1393327,GOVT. HIGH SCHOOL,yakza umba sankoo,54:17.5,Education ,High School - General,34.32659645,75.87281827
Ladakh,Leh,Kharu,Nakdong,1393092,Bus Stop,Nakdong,51:11.1,Transport/Admin,Bus Stand,33.86642883,77.66683871
Ladakh,Leh,Nyoma,Koyul,1393191,ration store,koyul,01:40.7,Agro ,Warehouse,32.87950755,79.19634101
Ladakh,Leh,Nyoma,Koyul,1393191,Bank,koyul,01:20.4,Transport/Admin,Bank,32.87978218,79.19664397
Ladakh,Kargil,Bhimbat,Kharboo mohallah,1411725,Animal Husbandry,Kharboo Mohallah,05:48.3,Medical ,Veterinary Hospital,34.54103229,75.99198424
Ladakh,Kargil,Bhimbat,Kharboo mohallah,1411725,sale center,kharboo,02:00.4,Agro ,Warehouse,34.53174833,75.98761167
Ladakh,Kargil,Bhimbat,Kharboo mohallah,1411725,High school,Kharboo mohallah,06:23.5,Education ,High School - General,34.53908713,75.99202917
Ladakh,Kargil,Bhimbat,Kharboo village,1411726,Govt Primary Health Centre,Kharboo,05:01.9,Medical ,Primary Health Centre,34.53740118,75.98725992
Ladakh,Leh,Chuchot,Stakna,1411775,sheep husbandry,stakna,13:46.6,Medical ,Veterinary Hospital,33.98639865,77.68973894
Ladakh,Leh,Chuchot,Stakna,1411775,Sheep husbandry Intensive fooder Dev. farm,stakna,01:23.1,Medical ,Veterinary Hospital,33.98607978,77.69002737
Ladakh,Leh,Chuchot,Stakna,1411775,Bus stand,stakna,10:28.4,Transport/Admin,Bus Stand,34.0088048,77.69141672
Ladakh,Leh,Chuchot,Stakna,1411775,Panchayat ghar,stakna,05:28.9,Transport/Admin,Panchayat Headquarter,34.00481425,77.68310238
Ladakh,Leh,Chuchot,Stakna,1411775,Ration store,stakna,07:10.8,Agro ,Warehouse,34.00418127,77.68428621
Ladakh,Leh,Skurbuchan,SkurBuchan,1411825,community health centre,skurbuchan,02:10.0,Medical ,Community Health Centre,34.43483667,76.71264833
Ladakh,Leh,Skurbuchan,SkurBuchan,1411825,mandi,skurbuchan,05:14.7,Agro ,Mandi (Notified),34.434995,76.71117
Ladakh,Leh,Skurbuchan,SkurBuchan,1411825,panchayat headquarter,skurbuchan,04:44.2,Transport/Admin,Panchayat Headquarter,34.42561667,76.723305
Ladakh,Leh,Skurbuchan,SkurBuchan,1411825,Warehouse,Skurbuchan,03:33.5,Agro ,Warehouse,34.42776656,76.72087301
Ladakh,Leh,Skurbuchan,SkurBuchan,1411825,govt. higher secondary school,skurbuchan,01:30.1,Education ,Higher Secondary School,34.42504333,76.72472167
Ladakh,Leh,Skurbuchan,SkurBuchan,1411825,J&K Bank,Skurbuchan,04:47.7,Transport/Admin,Bank,34.4308213,76.71838844
